"English","日本語";
"Cast Iron","鋳鉄";
"High-Carbon steel alloy that is strong under compression and can be used for armor plating.","圧縮下で強い高炭素鋼合金と鎧メッキに使用することができます。";
"Alien Fiber","エイリアンファイバー";
"Fibrous material harvested from indigenous plantlife. Can be woven into cloth that is an ingredient to craft many different items.","先住民族の植物生物から収穫された繊維状物質。多くの異なるアイテムを作り出すための成分である布に織り込むことができます。";
"Leather","レザー";
"Tanned piece of animal skin used in crafting.
","クラフトに使用されている動物の皮膚の日焼け片。
";
"Assault Rifle","アサルトライフル";
"Talonite","Talonite";
"Durable alloy that holds an edge very well. Used in high precision applications.","エッジを非常によく保持する耐久性のある合金。高精度用途で使用されます。";
"Blaster Cell","ブラスターセル";
"Basic laser blaster cell.","基本レーザーブラスターセル。";
"Assault Rifle Commander","アサルトライフル司令官";
"Land Mine Set","土地鉱山セット";
"An explosive device that is used for defending you and your colony.","あなたとあなたのコロニーを守るために使用される爆発的な装置。";
"Lonsdaleite","ロンズセライト";
"An allotrope of carbon that is a precursor to the crystalline formation of diamonds.","ダイヤモンドの結晶形成に対する前駆体である炭素の同種プロープ。";
"Booster Unit Mk. II","ブースターユニットMK。 ii";
"Titanium","チタン";
"A low density, high strength metal commonly used in aeronautical crafts due to its high tensile strenght to density ratio and corrosion resistance.","密度比と耐食性に対する高い引張強度のために一般的に航空工芸品で一般的に使用される低密度の高強度金属。";
"Alien Meat","エイリアンミート";
"Meat ripped right off the body of an indigenous alien creature. Cook to avoid food poisoning.","肉は先住民のエイリアンの生き物の体から離れた。食中毒を避けるために調理する。";
"Alien Tissue","エイリアンの組織";
"Tissue ripped right off the body of an indigenous alien creature.","組織は、右の先住民族のエイリアンの生き物の体食い物。";
"Steel","鋼";
"Complex metal used for building advanced structures and walls.

- Melting point: 1370 °C
","高度な構造と壁を建てるために使用される複雑な金属。

 - 融点：1370℃
";
"Solar Unit Mk. I","ソーラーユニットMK。私";
"Desert Yuccudis Fruit","砂漠ユッチフルーツ";
"Nutritious fruit to replenish hunger and slightly damage your health. Can be eaten while equipped or straight from storage. Also used as an ingredient in the crafting of some items.","飢餓を補充し、あなたの健康を少し傷つけるための栄養価の高い果物。装備されている間、またはストレージからのストレートで食べることができます。いくつかのアイテムの作成の成分としても使用されます。";
"Heat Sink Unit Mk. II","ヒートシンクユニットMK。 ii";
"Glide Unit","グライドユニット";
"Gravity Strength: ","重力強度：";
"Scrap Rubber","スクラップゴム";
"Small pieces of rubber that need to be melted down and reformed to be useful.","溶融し、有用であることを改定する必要があるゴム製の小片。";
"Crab Stew","カニチューズ";
"A delicious stew with added Crab Meat, Potatoes, and Carrots. Eat while equipped or straight from inventory.","カニの肉、じゃがいも、そしてニンジンを追加した美味しいシチュー。在庫を装備している間またはまっすぐに食べます。";
"Skeliopod Tail","スケ科植物のテール";
"Tail taken from a Skeliopod to be used for crafting purposes.","カーチョニング目的に使用されるスケリアポッドから撮影した。";
"02 Pump Unit Mk. I","02ポンプユニットMK。私";
"Light Unit Mk. III","ライトユニットMK。 i";
"Explosive","爆発物";
"A chemical explosive.","化学物質爆発物。";
"Chromium","クロム";
"A hard metal that is the main additive in stainless steel due to its increase in strengthening and corrosion resistance when alloying.","合金化時の強化および耐食性が増加するため、ステンレス鋼中の主添加剤である硬質金属。";
"Crab Eye","カニテリー";
"Eye recovered from a crab monster.","カニのモンスターから回収されました。";
"Afterburner","アフターバーナー";
"A weak compound created to give a small boost to your carrying capacity.","あなたの運搬能力に小さな後押しをするために作成された弱い化合物。";
"Arctlily","アークリー";
"Petals from an Arctlily, thrives in extremely cold climates.","弧からの花びら、非常に寒い気候で繁栄しています。";
"Stim Unit Mk. I","STIMユニットMK。私";
"Backpack Storage","バックパックストレージ";
"T19 Assault Rounds","T19アサルトラウンド";
"5% critical hit","5％クリティカルヒット";
"Broken Glass","割れたガラス";
"Fragments of glass. Would need to be melted and reformed to create usable glass.","ガラスの断片使用可能なガラスを作成するために溶けて改革する必要があります。";
"Grilled Orcek Meat","焼きオルエクの肉";
"Meat ripped right off the body of an Orcek. Has been cooked and is safe to eat.","肉はオーセクの体をすぐに裂かった。調理されて食べるのは安全です。";
"Cloth Bundle","布束";
"A bundle of tightly woven fibers.","しっかりと織られた繊維の束。";
"Bronze","ブロンズ";
"A basic alloy commonly used as a material for mechanical parts in modern times.","現代の機械部品の材料として一般的に使用される基本合金。";
"Aluminum Ingot","アルミインゴット";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 660.3 °C
","インゴットは精製建材のレンガです。あなたはこれらのインテを使ってさまざまなものを構築します。

 - 融点：660.3℃
";
"Titanium Ingot","チタニウムインゴット";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1668 °C
","インゴットは精製建材のレンガです。あなたはこれらのインテを使ってさまざまなものを構築します。

 - 融点：1668℃
";
"Diamond Chisel","ダイヤモンドチゼル";
"A chisel with a diamond tip that can chip away at the hardest of minerals.","鉱物の硬い鉱物で剥離できるダイヤモンドのチップを持つチゼル。";
"Conduit Bender","コンジットベンダー";
"A heavy blunt weapon commonly used for bending pipes. Makes for an effective bludgeoning weapon.","曲げパイプには一般的に使用されている重い鈍い武器。効果的なブラッジの武器を作ります。";
"Data Disk SN:134.33","データディスクSN：134.33";
"Status: ","状態：";
" (3 chances)"," （3チャンス）";
"Booster Unit Mk. III","ブースターユニットMK。 i";
"Unlocks Ability: ","能力のロックを解除します。";
"Blue Palms","青いヤシの";
"Large blue palms taken from an indiginous plant that are used as an ingredient to craft many different items.","多くの異なるアイテムを作るための成分として使用されている絆創膏から撮影された大きな青い手のひら。";
"Tungsten","タングステン";
"A hard, dense metal often used to make hard material alloys and armor-piercing projectiles.","硬い材料の合金と装甲穿孔をするためによく使用される硬い、密な金属。";
"Skeliopod Shell","スケ科植物の殻";
"Shell taken from a Skeliopod to be used for building defensive walls.","防御壁を建てるために使用されるスケリアポッドから撮影されたシェル。";
"Crab Meat","カニの身";
"Meat taken from the body of a Crab monster. Cook to avoid food poisoning.","カニモンスターの体から撮った肉。食中毒を避けるために調理する。";
"Fuel Compressor","燃料コンプレッサー";
"Zirconium","ジルコニウム";
"A lustrous metal primarily used as a refractory and opacifier.","耐火物および不透明剤として主に使用される光沢のある金属。";
"Scrap Antenna","スクラップアンテナ";
"Pieces of antenna's that have been left over.","アンテナの残りが残っています。";
"Hydrochloric Acid","塩酸";
"Violent chemical used to disintegrate matter.","暴力的な化学物質は物質を崩壊させるために使用されます。";
"Shovel","シャベル";
"Tool used to gather Sand for use in crafting.","作品に使用するための砂を集めるために使用されるツール。";
"Shard Blade","シャードブレード";
"A small sharp weapon made from a rock shard.","岩の断片から作られた小さな鋭い武器。";
"Steamed Carrot","蒸した";
"Nutritious steamed carrot. Eat while equipped or straight from inventory.","栄養価の高いニンジン。在庫を装備している間またはまっすぐに食べます。";
"Suit Heater","スーツヒーター";
"Recovery Unit","リカバリーユニット";
"Damage Taken: ","損傷した損傷";
"Stone Shovel","ストーンシャベル";
"Wire","ワイヤー";
"Complex material used for crafting complex electric devices.","複合電気装置を作成するために使用される複合材料。";
"Voice Log1","音声ログ1";
"VoiceLog1","Voicelog1";
"02 Pump Unit Mk. II","02ポンプユニットMK。 ii";
"Zoom","ズーム";
"A compound created to give a boost to your speed.","あなたの速度に後押しするために作成された化合物。";
"Zirconium Plate","ジルコニウムプレート";
"Metal plating used for building certain advanced structures and walls.

- Melting point: 1370 °C
","ある高度な構造と壁を建設するために使用される金属メッキ。

 - 融点：1370℃
";
"Tactical Knife","戦術ナイフ";
"The Tactical Knife is a sharp weapon that is quieter to use than most weapons.","戦術的なナイフは、ほとんどの武器よりも使用が静かな鋭い武器です。";
"Lens Cover","レンズカバー";
"Tumbo Meat","ムーボミート";
"Meat taken from the body of a Tumbo. Cook to avoid food poisoning.","塊の体から服用した肉。食中毒を避けるために調理する。";
"Skeliopod Stew","スケリアポッドシチュー";
"A-2 Heavy Assault Rounds","A-2重いアサルトラウンド";
"Advanced ammo magazine for the Heavy Assault Rifle. It is automatically used when reloading, if stored in backpack.","重いアサルトライフルのための高度な弾薬マガジン。バックパックに保存されている場合は、リロード時に自動的に使用されます。";
"Stone Axe","石の斧";
"A slashing tool that is essentially a rock on a stick with a nice handle.","素敵なハンドルが付いているスティックの上の岩であるスラッシュツール。";
"Makeshift Cloth Bundle","牧船布束";
"A makeshift bundle of loosely woven fibers.","ゆるく織られた繊維のマキシフトバンドル。";
"Stone Blade","石ブレード";
"A sharpened rock that can be used to make a blade.","ブレードを作るために使用することができる鋭い岩。";
"Stone Axe Head","ストーンアックスヘッド";
"A sharpened rock that can be used to make an axe","斧を作るために使用できる鋭い岩";
"Beetle Ball","カブトムシボール";
"Sack taken from a Skeliopod.","Skeliopodから取らサック。";
"Gnat Leg","GNATの脚";
"Leg ripped right off the body of a Gnat. The meat can be cooked or the bone from the leg can be used to make a weapon.","足はGNATの体をすぐにリッピングしました。肉を調理することも、足からの骨を使って武器を作ることができます。";
"Bark","吠える";
"Tree bark is used as an ingrediant to make different items in chemistry.","木の樹皮は、化学でさまざまな品目を作るための原則として使用されています。";
"Water","水";
"Liquid used for crafting more advanced items. Can also be drank to quench thirst.","より高度なアイテムを作成するために使用される液体。渇きを急冷するように飲んでもよい。";
"Coral Branches","サンゴの枝";
"Branches taken from a fan coral used as an ingredient to make different items in chemistry.","成分として使用されたファンサンゴから採取された枝は、化学に異なる項目を作る。";
"Botany Kit","植物キット";
"Tool used for extracting fluids from plants and creatures.","植物や生き物から流体を抽出するためのツール。";
"Copper","銅";
"A soft, ductile metal with high electrical and thermal conductivity, commonly used in electrical wiring.","電気的および熱伝導率が高い柔らかく延性金属、電気配線に一般的に使用されています。";
"P C X","PC X.";
"Liquid used for crafting more advanced items.","より高度なアイテムを作成するために使用される液体。";
"Urchin Shell","ウルチンシェル";
"Part of an urchin found on land. It's dangerous to eat raw, but can be used for crafting and cooking.","土地に見られるウニの一部。生を食べるのは危険ですが、クラフトや料理に使用できます。";
"Hydrogen Torch","水素トーチ";
"Fern Tree Berry","シダツリーベリー";
"Charred Alien Bits","魅力的なエイリアンビット";
"Bits of Alien Meat quickly cooked in extremely high temperature, not too tasty, but its technically safe to eat.","エイリアンの肉のビットは非常に高温で急速に調理され、おいしいではなく、その技術的には食事が安全です。";
"Alien Hide","エイリアン";
"Hide skinned from the body of an indigenous alien creature.","先住民の外国人のクリーチャーの体から皮を皮を隠します。";
"Crab Egg","カニエッグ";
"Egg taken from the body of a Crab monster. Cook to avoid food poisoning.","カニモンスターの体から撮った卵。食中毒を避けるために調理する。";
"Scrap Dish","スクラップ皿";
"Dish parts that have been left over.","残された皿の部分。";
"Molybdenum","モリブデン";
"A metal that is commonly used for the strengthening of steel.","鋼の強化に一般的に使用されている金属。";
"Iron","鉄";
"A moderately soft metal commonly used as a structural material when alloyed with other elements, mostly in the form of Steel.","他の元素と合金化したときに、主に鋼の形で合金化されたときに、一般的に構造材料として使用される適度に柔らかい金属。";
"Arachnoid Meat","アラコノイドミート";
"Meat ripped right off the body of a Arachnoid. Cook to avoid food poisoning.","肉はアラクノイドの体から離れた。食中毒を避けるために調理する。";
"Stone Shovel Head","ストーンシャベルヘッド";
"A shaped rock that can be used to make a shovel.","シャベルを作るために使用することができる形の岩。";
"Sponge Tubes","スポンジチューブ";
"Tubes taken from a sponge tube trees used as an ingredient to make different items in chemistry.","成分として使用されるスポンジチューブの木から撮影されたチューブは化学的に異なるアイテムを作る。";
"Tumbo Soup","タムボスープ";
"Orcek Leg","Orcekの足";
"Leg ripped right off the body of a Orcek. Cook to avoid food poisoning.","足はオルクの体をすぐに裂けた。食中毒を避けるために調理する。";
"Grilled Alien Meat","エイリアンミートの焼き";
"Meat ripped right off the body of an indigenous alien creature. Has been cooked and is safe to eat.","肉は先住民のエイリアンの生き物の体から離れた。調理されて食べるのは安全です。";
"Storage Unit Mk. II","記憶装置MK。 ii";
"Data Disk SN:144.22","データディスクSN：144.22";
"Redfern Tree Berry","レッサーツリーベリー";
"Nutritious fruit to replenish hunger and will slightly improve your health. Can be eaten while equipped or straight from storage. Also used as an ingredient in the crafting of some items.","飢餓を補給するための栄養価の高いフルーツそしてあなたの健康を少し改善するでしょう。装備されている間、またはストレージからのストレートで食べることができます。いくつかのアイテムの作成の成分としても使用されます。";
"Moonshroom","モンスルーム";
"Indigenous fungus found on the surface of Lutari. It's edible, but isn't very nutritious.","Lutariの表面上にある先住民族真菌。それは食用ですが、それほど栄養価が悪くない。";
"Brass","真鍮";
"Soft alloy that excels in low friction applications.","低摩擦用途に優れた柔らかい合金。";
"Cryo Rifle Ammo","Cryo Rifle Amo.";
"Advanced water filled ammo clip for a Cryo Rifle. This water filled container can only be fabricated in and advanced fabricator.","Cryo Rifleのための高度な水充填されたAMMOクリップ。この水充填容器は、高度な製造用のみを製造することができます。";
"Tumbo Leg","身長";
"Leg taken from the body of a Tumbo. Cook to avoid food poisoning.","トゥムボの体から取った足。食中毒を避けるために調理する。";
"Berry Juice","ベリージュース";
"A syrupy, tart juice created from cooked berries.","調理された果実から作成されたシロップ、タルトジュース。";
"Magnesium","マグネシウム";
"A metal susceptible to corrosion commonly used in creating lightweight materials and alloys.","軽量材料および合金の作成に一般的に使用される腐食の影響を受けやすい金属。";
"Cooked Orcek Egg","調理されたOrcek Egg.";
"Delicious cooked Orcek Egg. Eat while equipped or straight from inventory.","おいしい調理されたオーケットの卵。在庫を装備している間またはまっすぐに食べます。";
"Hydrocarbon Solution","炭化水素溶液";
"A solution rich in hydrocarbons, very flamable and combustible, can be refined into a better fuel.","炭化水素が豊富な溶液、非常にフラマンスで可燃性で、より良い燃料に精製することができます。";
"Methane Gas","メタンガス";
"A flammable gas that is both colorless and odorless. It is the main constituent of natural gas, as well as the simplest member of the alkane series of hydrocarbons.","無色と無臭の両方である可燃性ガス。それは天然ガスの主要な構成要素、ならびにアルカンシリーズの炭化水素の最も単純な部材である。";
"Data Disk SN:851.47","データディスクSN：851.47";
" (0 chances)"," （0チャンス）";
"Radar Scanner","レーダースキャナー";
"Advanced handheld Radar Scanner used for navigating terrain and scanning for resources based on their elemental density. Equip item to activate scanner.","高度なハンドヘルドレーダースキャナは、地形をナビゲートし、それらの元素密度に基づいてリソースのスキャンに使用されます。スキャナを有効にするための項目を装備してください。";
"Gnat Stew","Gnatシチュー";
"Snake Spikes","スケーキスパイク";
"Spikes taken from the back of a snake.","蛇の後ろから撮ったスパイク。";
"Cobalt Pistol","コバルトピストル";
"Laser Cell","レーザーセル";
"15% critical hit","15％クリティカルヒット";
"Broken Circuit Board","壊れた回路基板";
"A Circuit Board that has been broken and is missing some circuitry, could be repaired to be functional again.","破損している回路基板といくつかの回路が欠けているため、再度機能するように修理できます。";
"Dragon Tooth","ドラゴンの歯";
"Powerful piercing melee weapon with a sharp obsidian blade.","鋭い黒曜石のブレードを持つ強力な貫通する近接武器。";
"Arachnoid Teeth","アラコノイドの歯";
"Hover Booster","ホバーブースター";
"Stim Unit","刺されたユニット";
"Nichrome","ニクロム";
"An alloy with high electrical resistance commonly used in heating elements.","発熱体に一般的に使用される高い電気抵抗を有する合金。";
"Crude Metal Sword","粗金属刀";
"60% critical hit","60％クリティカルヒット";
"A crude sharp weapon made from a piece of sharpened metal. ","鋭利な金属の片から作られた粗い鋭い武器。";
"Solar Unit Mk. III","ソーラーユニットMK。 i";
"Lithium","リチウム";
"The lightest and least dense metal, while commonly used in the creation of batteries, can also be used in air purification applications.","最も軽いかつ最小の金属は、電池の創造に一般的に使用されているが、空気浄化用途にも使用することができる。";
"Masking Tape","マスキングテープ";
"Suit Integrity Bonus: ","スーツの整合性ボーナス：";
"IMPORTANT! Use masking tape to repair suit punctures. Can be used while equipped or straight from inventory.","重要！マスキングテープを使用してスーツの穿刺を修理してください。在庫を備えている間またはまっすぐに使用できます。";
"Cinna Fern","シナナシナティー";
"Leather Straps","レザーストラップ";
"Sections of leather used in crafting.","クラフトに使用される革のセクション。";
"Recovery Unit Mk. II","回復ユニットMK。 ii";
"Fuel Compressor Mk. III","燃料圧縮機MK。 i";
"Wrath","怒りに";
"Advanced compound created to increase your carrying capacity and stamina.","あなたの運搬能力とスタミナを増やすために作成された高度な化合物。";
"Gunmetal","ガンメタル";
"Corrosion resistant alloy commonly used in weapons.","武器で一般的に使用されている耐食性合金。";
"Flourescence","華やか";
"Liquid that has lumenescent properties.","じんましんでいる液体。";
"Magnesium Ingot","マグネシウムインゴット";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 650 °C
","インゴットは精製建材のレンガです。あなたはこれらのインテを使ってさまざまなものを構築します。

 - 融点：650℃
";
"Silver","銀";
"A precious metal with very high electrical and thermal conductivity.","非常に高い電気的および熱伝導率を有する貴金属。";
"Metal material found off of broken human made structures and vehicles. Can be recycled into other materials or used to create makeshift structures and other items.","壊れた人間の構造物と車両から見た金属材料。他の材料にリサイクルすることも、Makeshift構造体やその他の項目を作成するために使用することもできます。";
"Cooling Unit Mk. III","冷却装置MK。 i";
"Blue Blades","ブルーブレード";
"Blades taken from a Blueblade plant used as an ingredient to craft different items. Can also be eaten.","異なるアイテムを作るための成分として使用されるブルーブレード工場から撮影されたブレード。食べることもできます。";
"Lava Leaves","溶岩の葉";
"Lava leaves are used as an ingredient to craft different items. Can be eaten for a small increase in health and nutrition.","溶岩の葉は、さまざまな品目を作るための成分として使用されています。健康と栄養の小さな増加のために食べることができます。";
"Data Disk SN:251.35","データディスクSN：251.35";
"Makeshift Screwdriver","マキシフトドライバー";
"A makeshift multi-tool fashioned from scrap metal to allow for repairing, salvaging, and precise tinkering.","スクラップメタルから作られたMakeshiftマルチツールを修理、救済、そして正確ないじりを可能にする。";
"Spicy Sausage Gumbo","スパイシーなソーセージガンボ";
"An extravagant, delicious stew with multiple types of meats and vegetables. Eat while equipped or straight from inventory.","複数種類の肉や野菜の贅沢で美味しいシチュー。在庫を装備している間またはまっすぐに食べます。";
"C19 Heavy Assault Rifle","C19重いアサルトライフル";
"Human Waste","人間の浪費";
"Fertilizer to be mixed with Sand to create Soil for growing crops.","作物を成長させるための土壌を作り出すために砂と混ぜる肥料。";
"O2 Pump","O2揚水";
"Cooked Crab Egg","調理されたカニエッグ";
"Delicious cooked Crab Monster Egg. Eat while equipped or straight from inventory.","おいしい調理カニのモンスターエッグ。在庫を装備している間またはまっすぐに食べます。";
"Azure Rifle Magazine","Azureライフルマガジン";
"Ammo magazine for the Assault Rifle. It is automatically used when reloading, if stored in backpack.","アサルトライフル用の弾薬マガジン。バックパックに保存されている場合は、リロード時に自動的に使用されます。";
"Magnalium","マグネラリウム";
"An alloy with high strength, workability and low density commonly used in various vehicles types.","様々な車種で一般的に使用される高強度、加工性および低密度の合金。";
"Frenzy","狂信者";
"Advanced compound created to increase your health and stamina.","健康とスタミナを増やすために作成された高度な化合物。";
"Aluminum","アルミニウム";
"A low-density metal that is highly conductive and resist to corrosion.","高密度の金属は高度に導電性であり、腐食に抵抗する。";
"Dymalloy","ディマロイ";
"Conductive alloy used for high-powered electronics.","高出力電子機器に使用される導電性合金。";
"Carrot","にんじん";
"Nutritious vegetable to replenish hunger. Can be eaten while equipped or straight from storage.","飢餓を補充する栄養価の高い野菜。装備されている間、またはストレージからのストレートで食べることができます。";
"Snow","雪";
"Pile of frozen water flakes.","凍結水フレークの山。";
"Dirty Water","汚い水";
"Liquid water to be drank for quenching thirst. This will be bad for your nutrition but the water can be purified using some simple chemistry.","急冷するために飲み込むための液体水。これはあなたの栄養のために悪いでしょうが、水はいくつかの簡単な化学的性質を使って浄化されます。";
"Cooling Unit Mk. II","冷却装置MK。 ii";
"Diamond","ダイヤモンド";
"A crystalline form of pure carbon with immensely high hardness and thermal conductivity, commonly used in industrial cutting and grinding applications.","工業的切断および粉砕用途に一般的に使用される、非常に高い硬度および熱伝導率を有する結晶形の純粋な炭素。";
"Dyno","ダイノミー";
"A weak compound created to give a small boost to your speed.","あなたの速度に小さな後押しをするために作成された弱い化合物。";
"Pistol","ピストル";
"Lithium Ingot","リチウムインゴット";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 180.5 °C
","インゴットは精製建材のレンガです。あなたはこれらのインテを使ってさまざまなものを構築します。

 - 融点：180.5°C.
";
"Pick Axe","斧を選ぶ";
"Large slashing tool that is primarily for mining but can be used in self defense.","主に採掘のための大規模なスラッシングツールが自己防衛に使用することができます。";
"Assault Rifle Magazine","アサルトライフルマガジン";
"Booster Unit Mk. I","ブースターユニットMK。私";
"Anvil","アンビル";
"A strong compound created to give a boost to your health.","あなたの健康を後押しするために作成された強い複合。";
"Meat Stew","肉シチュー";
"Simple Meat broth, an improvement over basic charred meat. Eat while equipped or straight from inventory.","単純な肉スープ、基本的な慈悲の肉の上の改善。在庫を装備している間またはまっすぐに食べます。";
"Light Unit Mk. II","ライトユニットMK。 ii";
"Charge Cell","充電セル";
"Advanced portable power source made in a printer or fabricator. Used as a power source for the charge rifle.","プリンタまたは製造者で作られた高度な携帯電源。電荷ライフルの電源として使用されます。";
"Orcek Egg","オルクエの卵";
"Egg taken from an Orcek. Cook to avoid food poisoning.","オルクから撮影された卵。食中毒を避けるために調理する。";
"Broken Computer Screen","壊れたコンピューターの画面";
"A computer with a screen that is defective.","欠陥のある画面を備えたコンピュータ。";
"Dull Survival Knife","鈍いサバイバルナイフ";
"A Survival Knife is a slashing tool that is an essential part of all U.N.E. standard issue Emergency Kits. Not sharp enough to precisely skin creatures, but could be used to separate plant fibers or butcher meat in a pinch.","生存ナイフは、すべてのU.eの本質的な部分であるスラッシュツールです。標準問題緊急キット。正確に肌の生き物を肌にするのに十分急激ではありませんが、ピンチ内の植物繊維や肉肉を分離するために使用することができます。";
"Sulfur","硫黄";
"A nonmetallic element that is commonly used in chemical applications and as a component in fertilizers.","化学的用途で、および肥料中の成分として一般的に使用されている非金属元素。";
"Oxygen Scrubber","酸素スクラバー";
"Snake Meat","蛇の肉";
"Meat ripped right off the body of a snake. Cook to avoid food poisoning.","肉は蛇の体から裂けた。食中毒を避けるために調理する。";
"Power Cell","電源セル";
"A basic lithium-ion power cell.","基本的なリチウムイオン電力セル。";
"Hydrazine","ヒドラジン";
"Highly explosive gas commonly used to fuel rockets.","燃料ロケットに一般的に使用される非常に爆発性ガス。";
"Crab Scythe","カニの鎌";
"Melee weapon made from the talon of a crab monster.","カニのモンスターのタロンから作られた近接兵器。";
"Tin","錫";
"A soft metal commonly used in various alloys and as a coating to prevent corrosion.","様々な合金で一般的に使用される軟質金属および腐食を防ぐためのコーティングとして。";
"Horse Bract","馬の母";
"Horse bract are used as an ingredient to craft different items.","馬の母麦は、さまざまな品目を作るための成分として使用されています。";
"Targe","ターゲット";
"A weak compound created to give you a small boost to your health.","あなたの健康への小さな後押しをするために作成された弱い複合。";
"Makeshift Bandage","マケシフトの包帯";
"Orcek Stew","オルスクシチュー";
"A delicious stew with added Orcek Meat and Carrots. Eat while equipped or straight from inventory.","オルク肉とニンジンを追加した美味しいシチュー。在庫を装備している間またはまっすぐに食べます。";
"Duralumin","ジュラルミン";
"An alloy with a high strength to weight ratio commonly used on vehicles and aircraft.","車両や航空機で一般的に使用される重量比の高い合金。";
"Glass","ガラス";
"Crafting item for building structures, walls, and other items.
","建物構造、壁、その他の項目のためのクラフト項目。
";
"Cooling Unit Mk. I","冷却装置MK。私";
"Soil","土";
"Natural crafting agent for growing crops in a Bio Dome.","バイオドームで作物を成長させるための天然製の作物。";
"Psychroptera","精神科";
"Fleshy growth from a Psychroptera.","精神科療法からの肉質成長";
"Cooling Unit","冷却装置";
"Azure Rifle","紺碧のライフル";
"Fuel Cell","燃料電池";
"A long lasting power source.","長い長持ちする電源。";
"Solar Unit Mk. II","ソーラーユニットMK。 ii";
"Lead Ingot","鉛インゴット";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 327.5 °C
","インゴットは精製建材のレンガです。あなたはこれらのインテを使ってさまざまなものを構築します。

 - 融点：327.5℃
";
"Solar Panel Small Kit","ソーラーパネルスモールキット";
"Kit used to build Small Solar Panel. To build, right-click on Inventory Item and select Build or select the  Small Solar Panel from the Structures tab in your Character Menu.","小型の太陽電池パネルを構築するために使用されたキット。 [インベントリ]アイテムを作成し、[ビルド]を選択するか、[文字]メニューの[構造]タブから[スモールソーラー]パネルを選択します。";
"Fibon Tree Fruit","フィボロウの木の果実";
"Alien Blood","外国人の血";
"Blood extracted from the body of an indigenous alien creature.","先住民の外国人の生き物の体から抽出された。";
"Beacon Kit","ビーコンキット";
"Kit used to build beacons. To build, right-click on Inventory Item and select Build or select the Beacon from the Utilities tab in your Character Menu.","キットはビーコンを構築するために使用されます。ビルドするには、インベントリアイテムを右クリックして、[ビルド]を選択するか、[キャラクタ]メニューの[ユーティリティ]タブからビーコンを選択します。";
"Storage Unit","記憶装置";
"Nickel Ingot","ニッケルインゴット";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1455 °C
","インゴットは精製建材のレンガです。あなたはこれらのインテを使ってさまざまなものを構築します。

 - 融点：1455℃
";
"Key Card Tier-1","キーカードTier-1";
"A low-level clearance keycard used to open Osiris mission doors in abandoned settlements and mines.","放棄された集落と鉱山でオシリスミッションドアを開くために使用される低レベルのクリアランスキーカード。";
"Frost Lotus","霜ロータス";
"A flower from the Frost Lotus plant.","霜蓮の植物からの花。";
"Crude Metal Axe Head","粗金属斧ヘッド";
"A piece of sharpened metal that can be used to make an axe.","AXを作るために使用できる鋭利な金属。";
"Survival Tool","サバイバルツール";
"A multi-tool included in all U.N.E. standard issue Emergency Kits, useful for repairing, salvaging, and precise tinkering when in a pinch.","すべてのU.eに含まれるマルチツール標準的な問題緊急キットは、ピンチ内に修理、救済、および正確な綱引きに役立ちます。";
"Oxygen Tanks","酸素タンク";
"Oxygen Bonus: ","酸素ボーナス：";
"Tanks filled with oxygen that can be plugged directly in to your suit. This will help you catch your breath by providing oxygen in the field.","あなたのスーツに直接入れることができる酸素で満たされたタンク。これはあなたが分野で酸素を提供することによってあなたの息を捕まえるのを助けるでしょう。";
"Zamak","ザマック";
"A general purpose alloy with a wide range of applications.","幅広い用途を有する汎用合金。";
"6al-4v","6Al-4V";
"An alloy with high specific strength and excellent corrosion resistance.","高い比強度と優れた耐食性の合金。";
"Makeshift Patch Tape","Makeshiftパッチテープ";
"Ladder","はしご";
"Used to reach high places.","高い場所に到達するために使用されます。";
"Banana","バナナ";
"Nitrogen Compress Cell","窒素圧縮セル";
"ADD DETAILS
","詳細を追加してください
";
"Crude Metal Shovel","粗金属シャベル";
"Scarburros Palm","スカーブルスパウム";
"Data Disk SN:231.25","データディスクSN：231.25";
"Test Boots","ブーツをテストする";
"Prevents Lava Damage","溶岩の損傷を防ぎます";
"Gnat Underhook","GNATの後退";
"Baked Potato","ベークドポテト";
"Scrap Cloth","スクラップクロス";
"Soft fragments of cloth.","布の柔らかい断片。";
"Data Disk SN:385.21","データディスクSN：385.21";
"Test Backpack","バックパックをテストする";
"Ferrochrome","フェロクローム";
"Acid-resistent alloy used in the production of stainless steel.","ステンレス鋼の製造に使用される酸抵抗性合金。";
"T21 Heavy Assault Rounds","T21重いアサルトラウンド";
"Patch Tape","パッチテープ";
"IMPORTANT! Use patch tape to repair suit punctures. Can be used while equipped or straight from inventory.","重要！スーツの穿刺を修理するには、パッチテープを使用してください。在庫を備えている間またはまっすぐに使用できます。";
"Dirt","泥";
"Useless","無駄になる";
"Iron Ingot","鉄インゴット";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1538 °C
","インゴットは精製建材のレンガです。あなたはこれらのインテを使ってさまざまなものを構築します。

 - 融点：1538℃
";
"Test Helmet","テストヘルメット";
"Snake Hide","ヘビが隠れます";
