"source","target"
"Broken Barrel","Barril roto;"
"A Barrel that has been damaged and can no longer store gases. A few patches could make this functional again.","Un barril que ha sido dañado y ya no puede almacenar gases. Algunos parches podrían volver a hacer esto funcional.;"
"Vampire Dust","Polvo de vampiros;"
"Agility Boosted: ","Agilidad impulsada:;"
"Advanced compound created to boost your strength and speed.","Compuesto avanzado creado para aumentar su fuerza y ​​velocidad.;"
"Carbon Ingot","Lingote de carbono;"
"

- Melting point: 3550 °C
","

- Punto de fusión: 3550 ° C.
;"
"Inflatable Dome Kit","Kit de cúpula inflable;"
"Kit used to build Inflatable Dome. To build, right-click on Inventory Item and select Build or select the Inflatable Dome from the Structures tab in your Character Menu.","Kit usado para construir una cúpula inflable. Para construir, haga clic con el botón derecho en el elemento de inventario y seleccione Crear o seleccione la cúpula inflable en la pestaña Estructuras en el menú de su caracter.;"
"Grilled Tumbo Meat","Carne de tumbo a la plancha;"
"Meat ripped right off the body of a Tumbo. Has been cooked and is safe to eat.","La carne se arrancó de inmediato del cuerpo de un tumbo. Se ha cocinado y es seguro para comer.;"
"Chisel","Cincel;"
"Powerful blunt tool used for mining mineral ores with a hardness of 7. It can be reused for melee combat.","Potente herramienta contundente utilizada para minería mineral mineral con una dureza de 7. Se puede reutilizar para combatir el combate cuerpo a cuerpo.;"
"Hiking Cleats","Clases de senderismo;"
"25% critical hit","25% de golpe crítico;"
"Ammo magazine for the Bolt Rifle. It is automatically used when reloading, if stored in backpack.","Magazine de munición para el rifle de tornillo. Se usa automáticamente al recargar, si se almacena en la mochila.;"
"Stim Unit Mk. II","Unidad de STIV MK. II;"
"Scrap Metal","Chatarra;"
"Small pieces of metal left over after the greater portion of metal has already been used.","Pequeños trozos de metal sobrantes después de que ya se haya utilizado la mayor parte del metal.;"
"Tungsten Ingot","Lingote de tungsteno;"
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 3422 °C
","Los lingotes son ladrillos de materiales de construcción purificados. Usted usará estos para construir muchas cosas diferentes.

- Punto de fusión: 3422 ° C
;"
"Uranium","Uranio;"
"A dense, radioactive metal used commonly in nuclear fission based power generation.
","Un metal denso y radiactivo se usa comúnmente en la generación de energía basada en la fisión nuclear.
;"
"Nitrogen","Nitrógeno;"
"An odorless and colorless component of nucleic acids, amino acids, and thus proteins, important to create fertilisers and explosives.","Un componente inodoro e incoloro de los ácidos nucleicos, los aminoácidos y, por lo tanto, las proteínas, importantes para crear fertilizantes y explosivos.;"
"Cobalt","Cobalto;"
"A metal often used in the creation of magnets, batteries and as an additive in wear-resistant alloys.","Un metal se usa a menudo en la creación de imanes, baterías y como aditivo en aleaciones resistentes al desgaste.;"
"Pipe","Tubo;"
"50% critical hit","50% de golpe crítico;"
"A basic formed pipe, can be used as a melee weapon.","Una tubería formada básica, se puede utilizar como un arma cuerpo a cuerpo.;"
"Makeshift Laser Chisel","Chisel láser improvisado;"
"An overclocked makeshift laser that can slowly sample the hardest minerals, its short battery life makes it a poor mining device.","Un láser improvisado overclockeado que puede muestrear lentamente los minerales más duros, su vida útil corta de la batería lo convierte en un dispositivo de minería deficiente.;"
"D24k Assault Rounds","Rondas de asalto D24K;"
"Zirconium Circuit Board","Placa de circuito de circonio;"
"Mother board made using zirconium and used when building certain complex structures, vehicles, and items.","Placa madre hecha con circonio y se usa al construir ciertas estructuras complejas, vehículos y artículos.;"
"Yellow Pedal Flower","Flor amarilla del pedal;"
"Indigenous fungus found in the wild. It's poisonous to eat, but can be used to craft special items.","Fungus indígena encontrado en la naturaleza. Es venenoso comer, pero se puede utilizar para crear artículos especiales.;"
"Wrench","Llave inglesa;"
"A basic multi-tool that can be used for repairing, salvaging, and precise tinkering.","Una multi-herramienta básica que se puede usar para reparar, rescatar y desventajas precisas.;"
"Battery","Batería;"
"Replaces depleted battery in flashlight.","Reemplaza la batería agotada en linterna.;"
"Gem Leaf Fruit","Fruta de la hoja de gema;"
"Very nutritious food to replenish hunger. Can be eaten while equipped or straight from storage.","Comida muy nutritiva para reponer el hambre. Se puede comer mientras está equipado o directamente desde el almacenamiento.;"
"Azurnium","Azurnio;"
"Strange crystal with sparsely understood physical properties. Useful in High-Tech devices.","Cristal extraño con propiedades físicas escasamente entendidas. Útil en dispositivos de alta tecnología.;"
"Shaped Crab Antenna","Antena de cangrejo en forma;"
"A shaped fragment of a Crab Antenna, could be fashioned into a crude precision tool.","Un fragmento formado de una antena de cangrejo, podría formarse en una herramienta de precisión cruda.;"
"Blitz","Bombardeo aéreo;"
"A weak compound created to give a small boost to your stamina.","Un compuesto débil creado para dar un pequeño impulso a su resistencia.;"
"Fungus","Hongo;"
"Heat Sink Unit Mk. III","Unidad de disipador de calor MK. III;"
"Light Unit Mk. I","Unidad de luz mk. I;"
"Crude Pipe","Tubo crudo;"
"A crude pipe fashioned from bent scrap metal.","Un tubo crudo de forma de chatarra doblada.;"
"Orcek Soup","Sopa de orcek;"
"Delicious broth preserved in highly mobile packaging. Eat while equipped or straight from inventory.","Delicioso caldo conservado en envases altamente móviles. Comer mientras está equipado o directamente del inventario.;"
"Charge Rifle","Rifle de carga;"
"Hydrogen","Hidrógeno;"
"A highly-flammable gas that is without both color and odor, and is used mainly as rocket fuel for energy.","Un gas altamente inflamable que es sin color y olor, y se usa principalmente como combustible de cohete para la energía.;"
"Obsidian","Obsidiana;"
"A volcanic glass capable of being knapped into sharp blades.","Un vidrio volcánico capaz de estar desnudado en cuchillas afiladas.;"
"Gnat Hook","Gancho gnat;"
"Crafting item for building weapon modifications, calcium powder 
and other items.","Artículo de elaboración para la construcción de modificaciones de armas, polvo de calcio
y otros artículos.;"
"White Gold","Oro blanco;"
"A malleable alloy used most commonly in jewelry, could be used for manufaturing small parts.","Una aleación maleable utilizada más comúnmente en joyería, podría usarse para fabricar partes pequeñas.;"
"Zircaloy","Zircaloy;"
"High heat, hardness, and corrosion resistant alloy.","Alto calor, dureza y aleación resistente a la corrosión.;"
"Zinc","Zinc;"
"A brittle metal generally used as an anti-corrosive coating and in various alloys.","Un metal quebradizo generalmente se usa como un revestimiento anticorrosivo y en varias aleaciones.;"
"Snake Stew","Guiso de serpiente;"
"Gnat Meat","Carne de gnat;"
"Meat ripped right off the body of a Gnat. Cook to avoid food poisoning.","La carne se arrancó de inmediato del cuerpo de un gnat. Cocinar para evitar la intoxicación alimentaria.;"
"Oxygen","Oxígeno;"
"A life-supporting colorless and odorless gas.","Un gas incoloro y sin incoloro de la vida.;"
"Solar Unit","Unidad solar;"
"Flashlight Battery Recharge: ","Batería de linterna recarga:;"
"Key Card Tier-2","Tarjeta de llave Tier-2;"
"A mid-level clearance keycard used to open Osiris mission doors in abandoned settlements and mines.","Una llave de autorización de nivel medio solía abrir las puertas de la misión de Osiris en asentamientos y minas abandonadas.;"
"Light Range Extender","Extensor de rango de luz;"
"Cast Iron","Hierro fundido;"
"High-Carbon steel alloy that is strong under compression and can be used for armor plating.","Aleación de acero de alto contenido de carbono que es fuerte bajo compresión y se puede utilizar para la armadura.;"
"Alien Fiber","Fibra alienígena;"
"Fibrous material harvested from indigenous plantlife. Can be woven into cloth that is an ingredient to craft many different items.","Material fibroso cosechado de plantilla indígena. Se puede tejer en tela que es un ingrediente para crear muchos elementos diferentes.;"
"Leather","Cuero;"
"Tanned piece of animal skin used in crafting.
","Pieza bronceada de piel animal utilizada en la elaboración.
;"
"Assault Rifle","Fusil de asalto;"
"Talonite","Talonita;"
"Durable alloy that holds an edge very well. Used in high precision applications.","Aleación duradera que mantiene un borde muy bien. Utilizado en aplicaciones de alta precisión.;"
"Blaster Cell","Célula blaster;"
"Basic laser blaster cell.","Célula Básica de Blaster.;"
"Assault Rifle Commander","Comandante de rifle de asalto;"
"Land Mine Set","Conjunto de mina de tierra;"
"An explosive device that is used for defending you and your colony.","Un dispositivo explosivo que se usa para defenderte a usted y a su colonia.;"
"Lonsdaleite","Lonsdaleite;"
"An allotrope of carbon that is a precursor to the crystalline formation of diamonds.","Un alootrope de carbono que es un precursor de la formación cristalina de diamantes.;"
"Booster Unit Mk. II","Unidad de refuerzo Mk. II;"
"Titanium","Titanio;"
"A low density, high strength metal commonly used in aeronautical crafts due to its high tensile strenght to density ratio and corrosion resistance.","Un metal de alta densidad y alta resistencia se usa comúnmente en artesanías aeronáuticas debido a su alta resistencia a la tracción a la proporción de densidad y la resistencia a la corrosión.;"
"Alien Meat","Carne extraterrestre;"
"Meat ripped right off the body of an indigenous alien creature. Cook to avoid food poisoning.","La carne se arrancó de inmediato del cuerpo de una criatura alienígena indígena. Cocinar para evitar la intoxicación alimentaria.;"
"Alien Tissue","Tejido extraño;"
"Tissue ripped right off the body of an indigenous alien creature.","El tejido arrancó de inmediato del cuerpo de una criatura alienígena indígena.;"
"Steel","Acero;"
"Complex metal used for building advanced structures and walls.

- Melting point: 1370 °C
","Metal complejo utilizado para construir estructuras avanzadas y paredes.

- Punto de fusión: 1370 ° C.
;"
"Solar Unit Mk. I","Unidad solar mk. I;"
"Desert Yuccudis Fruit","Fruta de Yuccudis del desierto;"
"Nutritious fruit to replenish hunger and slightly damage your health. Can be eaten while equipped or straight from storage. Also used as an ingredient in the crafting of some items.","Fruta nutritiva para reponer el hambre y dañar ligeramente su salud. Se puede comer mientras está equipado o directamente desde el almacenamiento. También se utiliza como ingrediente en la elaboración de algunos artículos.;"
"Heat Sink Unit Mk. II","Unidad de disipador de calor MK. II;"
"Glide Unit","Unidad de deslizamiento;"
"Gravity Strength: ","Fuerza de la gravedad:;"
"Scrap Rubber","Goma de chatarra;"
"Small pieces of rubber that need to be melted down and reformed to be useful.","Pequeñas piezas de goma que deben ser derretidas y reformadas para ser útiles.;"
"Crab Stew","Estofado de cangrejo;"
"A delicious stew with added Crab Meat, Potatoes, and Carrots. Eat while equipped or straight from inventory.","Un delicioso estofado con carne de cangrejo agregada, papas y zanahorias. Comer mientras está equipado o directamente del inventario.;"
"Skeliopod Tail","Skeliopod Tail;"
"Tail taken from a Skeliopod to be used for crafting purposes.","Cola tomada de un skeliopod que se utilizará para fines de artesanía.;"
"02 Pump Unit Mk. I","02 unidad de bomba Mk. I;"
"Light Unit Mk. III","Unidad de luz mk. III;"
"Explosive","Explosivo;"
"A chemical explosive.","Un explosivo químico.;"
"Chromium","Cromo;"
"A hard metal that is the main additive in stainless steel due to its increase in strengthening and corrosion resistance when alloying.","Un metal duro que es el aditivo principal en acero inoxidable debido a su aumento en el fortalecimiento y la resistencia a la corrosión al alear.;"
"Crab Eye","Ojo de cangrejo;"
"Eye recovered from a crab monster.","Ojo recuperado de un monstruo de cangrejo.;"
"Afterburner","Abeto;"
"A weak compound created to give a small boost to your carrying capacity.","Un compuesto débil creado para dar un aumento pequeño a su capacidad de transporte.;"
"Arctlily","Arctlily;"
"Petals from an Arctlily, thrives in extremely cold climates.","Pétalos de una arctlildad, prospera en climas extremadamente fríos.;"
"Stim Unit Mk. I","Unidad de STIV MK. I;"
"Backpack Storage","Mochila de almacenamiento;"
"T19 Assault Rounds","T19 Rondas de asalto;"
"5% critical hit","5% de golpe crítico;"
"Broken Glass","Vidrio roto;"
"Fragments of glass. Would need to be melted and reformed to create usable glass.","Fragmentos de vidrio. Tendría que ser derretido y reformado para crear vidrio utilizable.;"
"Grilled Orcek Meat","Carne de orche a la parrilla;"
"Meat ripped right off the body of an Orcek. Has been cooked and is safe to eat.","La carne se arrancó de inmediato del cuerpo de un orcek. Se ha cocinado y es seguro para comer.;"
"Cloth Bundle","Haz de tela;"
"A bundle of tightly woven fibers.","Un paquete de fibras estrechamente tejidas.;"
"Bronze","Bronce;"
"A basic alloy commonly used as a material for mechanical parts in modern times.","Una aleación básica comúnmente utilizada como material para partes mecánicas en los tiempos modernos.;"
"Aluminum Ingot","Lingote de aluminio;"
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 660.3 °C
","Los lingotes son ladrillos de materiales de construcción purificados. Usted usará estos para construir muchas cosas diferentes.

- Punto de fusión: 660.3 ° C
;"
"Titanium Ingot","Lingote de titanio;"
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1668 °C
","Los lingotes son ladrillos de materiales de construcción purificados. Usted usará estos para construir muchas cosas diferentes.

- Punto de fusión: 1668 ° C.
;"
"Diamond Chisel","Cincel de diamante;"
"A chisel with a diamond tip that can chip away at the hardest of minerals.","Un cincel con una punta de diamante que puede quitarte el más duro de los minerales.;"
"Conduit Bender","Doblador de conductos;"
"A heavy blunt weapon commonly used for bending pipes. Makes for an effective bludgeoning weapon.","Una pesada arma contundente comúnmente utilizada para doblarse tuberías. Hace para un arma eficaz.;"
"Data Disk SN:134.33","Data Disk SN: 134.33;"
"Status: ","Estado:;"
" (3 chances)"," (3 oportunidades);"
"Booster Unit Mk. III","Unidad de refuerzo Mk. III;"
"Unlocks Ability: ","Desbloquea la habilidad:;"
"Blue Palms","Palmas azules;"
"Large blue palms taken from an indiginous plant that are used as an ingredient to craft many different items.","Grandes palmas azules tomadas de una planta indiginosa que se utilizan como ingrediente para crear muchos elementos diferentes.;"
"Tungsten","Tungsteno;"
"A hard, dense metal often used to make hard material alloys and armor-piercing projectiles.","Un metal duro y denso que se usa a menudo para hacer las aleaciones de materiales difíciles y los proyectiles perforantes de armadura.;"
"Skeliopod Shell","Shell skeliopod;"
"Shell taken from a Skeliopod to be used for building defensive walls.","Shell tomado de un skeliopod que se utilizará para construir paredes defensivas.;"
"Crab Meat","Carne de cangrejo;"
"Meat taken from the body of a Crab monster. Cook to avoid food poisoning.","Carne tomada del cuerpo de un monstruo de cangrejo. Cocinar para evitar la intoxicación alimentaria.;"
"Fuel Compressor","Compresor de combustible;"
"Zirconium","Circonio;"
"A lustrous metal primarily used as a refractory and opacifier.","Un metal lustroso se utiliza principalmente como un refractario y opacificador.;"
"Scrap Antenna","Antena de chatarra;"
"Pieces of antenna's that have been left over.","Piezas de antena que se han dejado.;"
"Hydrochloric Acid","Ácido clorhídrico;"
"Violent chemical used to disintegrate matter.","Químico violento utilizado para desintegrar la materia.;"
"Shovel","Pala;"
"Tool used to gather Sand for use in crafting.","Herramienta utilizada para recolectar arena para su uso en la elaboración.;"
"Shard Blade","Hoja de fragmento;"
"A small sharp weapon made from a rock shard.","Una pequeña arma afilada hecha de un fragmento de roca.;"
"Steamed Carrot","Zanahoria al vapor;"
"Nutritious steamed carrot. Eat while equipped or straight from inventory.","Nutritiva zanahoria al vapor. Comer mientras está equipado o directamente del inventario.;"
"Suit Heater","Calentador de traje;"
"Recovery Unit","Unidad de recuperación;"
"Damage Taken: ","Daños tomados:;"
"Stone Shovel","Pala de piedra;"
"Wire","Cable;"
"Complex material used for crafting complex electric devices.","Material complejo utilizado para elaboración de dispositivos eléctricos complejos.;"
"Voice Log1","Log1 de voz1;"
"VoiceLog1","VoiceLog1;"
"02 Pump Unit Mk. II","02 unidad de bomba Mk. II;"
"Zoom","Zoom;"
"A compound created to give a boost to your speed.","Un compuesto creado para dar un impulso a su velocidad.;"
"Zirconium Plate","Placa de circonio;"
"Metal plating used for building certain advanced structures and walls.

- Melting point: 1370 °C
","Chapado metálico utilizado para construir ciertas estructuras avanzadas y paredes.

- Punto de fusión: 1370 ° C.
;"
"Tactical Knife","Cuchillo táctico;"
"The Tactical Knife is a sharp weapon that is quieter to use than most weapons.","El cuchillo táctico es un arma afilada que es más tranquila para usar que la mayoría de las armas.;"
"Lens Cover","Cubierta de lentes;"
"Tumbo Meat","Carne tumbo;"
"Meat taken from the body of a Tumbo. Cook to avoid food poisoning.","Carne tomada del cuerpo de un tumbo. Cocinar para evitar la intoxicación alimentaria.;"
"Skeliopod Stew","Estofado de skeliopod;"
"A-2 Heavy Assault Rounds","A-2 Rondas de asalto pesado;"
"Advanced ammo magazine for the Heavy Assault Rifle. It is automatically used when reloading, if stored in backpack.","Magazine avanzada de munición para el rifle de asalto pesado. Se usa automáticamente al recargar, si se almacena en la mochila.;"
"Stone Axe","Hacha de piedra;"
"A slashing tool that is essentially a rock on a stick with a nice handle.","Una herramienta de corte que es esencialmente una roca en un palo con un mango agradable.;"
"Makeshift Cloth Bundle","Paquete de tela improvisado;"
"A makeshift bundle of loosely woven fibers.","Un haz improvisado de fibras libremente tejidas.;"
"Stone Blade","Hoja de piedra;"
"A sharpened rock that can be used to make a blade.","Una roca afilada que se puede usar para hacer una cuchilla.;"
"Stone Axe Head","Cabeza de piedra;"
"A sharpened rock that can be used to make an axe","Una roca afilada que se puede usar para hacer un hacha.;"
"Beetle Ball","Bola de escarabajo;"
"Sack taken from a Skeliopod.","Saco tomado de un skeliopod.;"
"Gnat Leg","Pierna de gnat;"
"Leg ripped right off the body of a Gnat. The meat can be cooked or the bone from the leg can be used to make a weapon.","La pierna arrancó de inmediato del cuerpo de un gnat. La carne se puede cocinar o el hueso de la pierna se puede usar para hacer un arma.;"
"Bark","Ladrar;"
"Tree bark is used as an ingrediant to make different items in chemistry.","La corteza de árbol se utiliza como ingrediente para hacer diferentes artículos en química.;"
"Water","Agua;"
"Liquid used for crafting more advanced items. Can also be drank to quench thirst.","Líquido utilizado para la elaboración de artículos más avanzados. También se puede beber para apagar la sed.;"
"Coral Branches","Ramas de coral;"
"Branches taken from a fan coral used as an ingredient to make different items in chemistry.","Las ramas tomadas de un coral de ventilador utilizadas como ingrediente para hacer diferentes artículos en química.;"
"Botany Kit","Kit de botánica;"
"Tool used for extracting fluids from plants and creatures.","Herramienta utilizada para extraer líquidos de plantas y criaturas.;"
"Copper","Cobre;"
"A soft, ductile metal with high electrical and thermal conductivity, commonly used in electrical wiring.","Un metal suave y dúctil con alta conductividad eléctrica y térmica, comúnmente utilizada en el cableado eléctrico.;"
"P C X","P c x;"
"Liquid used for crafting more advanced items.","Líquido utilizado para la elaboración de artículos más avanzados.;"
"Urchin Shell","Cáscara de erizo;"
"Part of an urchin found on land. It's dangerous to eat raw, but can be used for crafting and cooking.","Parte de un erizo encontrado en la tierra. Es peligroso comer crudo, pero puede ser utilizado para la elaboración y cocción.;"
"Hydrogen Torch","Antorcha de hidrógeno;"
"Fern Tree Berry","Helecho árbol berry;"
"Charred Alien Bits","Bits alienígenas carbonizados;"
"Bits of Alien Meat quickly cooked in extremely high temperature, not too tasty, but its technically safe to eat.","Los trozos de carne extraterrestre se cocinan rápidamente en temperatura extremadamente alta, no demasiado sabrosos, pero son técnicamente seguros para comer.;"
"Alien Hide","Escondite alienígena;"
"Hide skinned from the body of an indigenous alien creature.","Ocultar piel del cuerpo de una criatura alienígena indígena.;"
"Crab Egg","Huevo de cangrejo;"
"Egg taken from the body of a Crab monster. Cook to avoid food poisoning.","Huevo tomado del cuerpo de un monstruo de cangrejo. Cocinar para evitar la intoxicación alimentaria.;"
"Scrap Dish","Plato de chatarra;"
"Dish parts that have been left over.","Platos que se han dejado.;"
"Molybdenum","Molibdeno;"
"A metal that is commonly used for the strengthening of steel.","Un metal que se usa comúnmente para el fortalecimiento del acero.;"
"Iron","Hierro;"
"A moderately soft metal commonly used as a structural material when alloyed with other elements, mostly in the form of Steel.","Un metal moderadamente suave se usa comúnmente como material estructural cuando se aleó con otros elementos, principalmente en forma de acero.;"
"Arachnoid Meat","Carne aracnoidea;"
"Meat ripped right off the body of a Arachnoid. Cook to avoid food poisoning.","La carne se rasgó de inmediato del cuerpo de un aracnoide. Cocinar para evitar la intoxicación alimentaria.;"
"Stone Shovel Head","Cabeza de piedra de piedra;"
"A shaped rock that can be used to make a shovel.","Una roca con forma que se puede usar para hacer una pala.;"
"Sponge Tubes","Tubos de esponja;"
"Tubes taken from a sponge tube trees used as an ingredient to make different items in chemistry.","Tubos tomados de un tubo de esponja Los árboles utilizados como ingredientes para hacer diferentes artículos en química.;"
"Tumbo Soup","Sopa de tumbo;"
"Orcek Leg","Pierna de orck;"
"Leg ripped right off the body of a Orcek. Cook to avoid food poisoning.","La pierna se arrancó de inmediato del cuerpo de un orcek. Cocinar para evitar la intoxicación alimentaria.;"
"Grilled Alien Meat","Carne alienígena a la parrilla;"
"Meat ripped right off the body of an indigenous alien creature. Has been cooked and is safe to eat.","La carne se arrancó de inmediato del cuerpo de una criatura alienígena indígena. Se ha cocinado y es seguro para comer.;"
"Storage Unit Mk. II","Unidad de almacenamiento MK. II;"
"Data Disk SN:144.22","Disco de datos SN: 144.22;"
"Redfern Tree Berry","Redfern Tree Berry;"
"Nutritious fruit to replenish hunger and will slightly improve your health. Can be eaten while equipped or straight from storage. Also used as an ingredient in the crafting of some items.","Fruta nutritiva para reponer el hambre y mejorará ligeramente su salud. Se puede comer mientras está equipado o directamente desde el almacenamiento. También se utiliza como ingrediente en la elaboración de algunos artículos.;"
"Moonshroom","Moonshroom;"
"Indigenous fungus found on the surface of Lutari. It's edible, but isn't very nutritious.","Fungus indígena encontrado en la superficie de Lutari. Es comestible, pero no es muy nutritivo.;"
"Brass","Latón;"
"Soft alloy that excels in low friction applications.","Aleación suave que sobresale en aplicaciones de baja fricción.;"
"Cryo Rifle Ammo","Munición de rifle cryo;"
"Advanced water filled ammo clip for a Cryo Rifle. This water filled container can only be fabricated in and advanced fabricator.","Clip avanzado de munición llena de agua para un rifle cryo. Este recipiente lleno de agua solo se puede fabricar y fabricante avanzado.;"
"Tumbo Leg","Pierna tumbo;"
"Leg taken from the body of a Tumbo. Cook to avoid food poisoning.","Pierna tomada del cuerpo de un tumbo. Cocinar para evitar la intoxicación alimentaria.;"
"Berry Juice","Berry jugo;"
"A syrupy, tart juice created from cooked berries.","Un jarabe, jugo de tarta creado a partir de bayas cocidas.;"
"Magnesium","Magnesio;"
"A metal susceptible to corrosion commonly used in creating lightweight materials and alloys.","Un metal susceptible a la corrosión comúnmente utilizado en la creación de materiales y aleaciones ligeras.;"
"Cooked Orcek Egg","Huevo de orcek cocido;"
"Delicious cooked Orcek Egg. Eat while equipped or straight from inventory.","Delicioso huevo cocinado de orcek. Comer mientras está equipado o directamente del inventario.;"
"Hydrocarbon Solution","Solución de hidrocarburos;"
"A solution rich in hydrocarbons, very flamable and combustible, can be refined into a better fuel.","Una solución rica en hidrocarburos, muy flamable y combustible, puede refinarse en un mejor combustible.;"
"Methane Gas","Gas metano;"
"A flammable gas that is both colorless and odorless. It is the main constituent of natural gas, as well as the simplest member of the alkane series of hydrocarbons.","Un gas inflamable que es incoloro e inodoro. Es el principal constituyente de gas natural, así como el miembro más simple de la serie alcana de hidrocarburos.;"
"Data Disk SN:851.47","Data Disk SN: 851.47;"
" (0 chances)"," (0 oportunidades);"
"Radar Scanner","Escáner de radar;"
"Advanced handheld Radar Scanner used for navigating terrain and scanning for resources based on their elemental density. Equip item to activate scanner.","Scanner de radar de mano avanzado utilizado para navegar por terrenos y escanear los recursos basados ​​en su densidad elemental. Equipar el elemento para activar el escáner.;"
"Gnat Stew","Guiso de gnat;"
"Snake Spikes","Espigas de serpientes;"
"Spikes taken from the back of a snake.","Picos tomados de la parte posterior de una serpiente.;"
"Cobalt Pistol","Pistola de cobalto;"
"Laser Cell","Célula láser;"
"15% critical hit","15% de golpe crítico;"
"Broken Circuit Board","Placa de circuito roto;"
"A Circuit Board that has been broken and is missing some circuitry, could be repaired to be functional again.","Una placa de circuito que se ha roto y le falta algunos circuitos, podría ser reparado para ser funcional nuevamente.;"
"Dragon Tooth","Diente de dragón;"
"Powerful piercing melee weapon with a sharp obsidian blade.","Poderoso arma cuerpo a cuerpo perforada con una cuchilla obsidiana afilada.;"
"Arachnoid Teeth","Dientes arácnicos;"
"Hover Booster","Hover Booster;"
"Stim Unit","Unidad de estímulo;"
"Nichrome","Nichrome;"
"An alloy with high electrical resistance commonly used in heating elements.","Una aleación con alta resistencia eléctrica comúnmente utilizada en los elementos de calefacción.;"
"Crude Metal Sword","Espada de metal crudo;"
"60% critical hit","60% de golpe crítico;"
"A crude sharp weapon made from a piece of sharpened metal. ","Una arma nítida bruta hecha de un trozo de metal afilado.;"
"Solar Unit Mk. III","Unidad solar mk. III;"
"Lithium","Litio;"
"The lightest and least dense metal, while commonly used in the creation of batteries, can also be used in air purification applications.","El metal más ligero y menos denso, aunque comúnmente se usa en la creación de baterías, también se puede utilizar en aplicaciones de purificación de aire.;"
"Masking Tape","Cinta adhesiva;"
"Suit Integrity Bonus: ","Bono de integridad del traje:;"
"IMPORTANT! Use masking tape to repair suit punctures. Can be used while equipped or straight from inventory.","¡IMPORTANTE! Use cinta adhesiva para reparar los pinchazos de traje. Se puede utilizar mientras está equipado o directamente del inventario.;"
"Cinna Fern","Helecho de cane;"
"Leather Straps","Correas de cuero;"
"Sections of leather used in crafting.","Secciones de cuero utilizado en la elaboración.;"
"Recovery Unit Mk. II","Unidad de recuperación MK. II;"
"Fuel Compressor Mk. III","Compresor de combustible MK. III;"
"Wrath","Ira;"
"Advanced compound created to increase your carrying capacity and stamina.","Compuesto avanzado creado para aumentar su capacidad de transporte y resistencia.;"
"Gunmetal","Gunmetal;"
"Corrosion resistant alloy commonly used in weapons.","Aleación resistente a la corrosión comúnmente utilizada en armas.;"
"Flourescence","Florecencia;"
"Liquid that has lumenescent properties.","Líquido que tiene propiedades lumenescentes.;"
"Magnesium Ingot","Lingote de magnesio;"
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 650 °C
","Los lingotes son ladrillos de materiales de construcción purificados. Usted usará estos para construir muchas cosas diferentes.

- Punto de fusión: 650 ° C.
;"
"Silver","Plata;"
"A precious metal with very high electrical and thermal conductivity.","Un metal precioso con una conductividad eléctrica y térmica muy alta.;"
"Metal material found off of broken human made structures and vehicles. Can be recycled into other materials or used to create makeshift structures and other items.","Material metálico encontrado de estructuras y vehículos hechos humanos rotos. Se puede reciclar en otros materiales o usarse para crear estructuras improvisadas y otros artículos.;"
"Cooling Unit Mk. III","Unidad de enfriamiento mk. III;"
"Blue Blades","Cuchillas azules;"
"Blades taken from a Blueblade plant used as an ingredient to craft different items. Can also be eaten.","Hojas tomadas de una planta BlueBlade utilizada como ingrediente para organizar diferentes artículos. También se puede comer.;"
"Lava Leaves","Hojas de lava;"
"Lava leaves are used as an ingredient to craft different items. Can be eaten for a small increase in health and nutrition.","Las hojas de lava se utilizan como ingredientes para crear diferentes artículos. Se puede comer por un pequeño aumento en la salud y la nutrición.;"
"Data Disk SN:251.35","Data Disk SN: 251.35;"
"Makeshift Screwdriver","Destornillador improvisado;"
"A makeshift multi-tool fashioned from scrap metal to allow for repairing, salvaging, and precise tinkering.","Una multi-herramienta improvisada de forma de chatarra para permitir la reparación, rescate y tiniebras precisas.;"
"Spicy Sausage Gumbo","Salchicha picante Gumbo;"
"An extravagant, delicious stew with multiple types of meats and vegetables. Eat while equipped or straight from inventory.","Un guiso extravagante, delicioso con múltiples tipos de carnes y verduras. Comer mientras está equipado o directamente del inventario.;"
"C19 Heavy Assault Rifle","Rifle de asalto pesado C19;"
"Human Waste","Desechos humanos;"
"Fertilizer to be mixed with Sand to create Soil for growing crops.","Fertilizante para mezclar con arena para crear suelo para cultivar cultivos.;"
"O2 Pump","Bomba O2;"
"Cooked Crab Egg","Huevo de cangrejo cocido;"
"Delicious cooked Crab Monster Egg. Eat while equipped or straight from inventory.","Delicioso huevo de monstruo de cangrejo cocido. Comer mientras está equipado o directamente del inventario.;"
"Azure Rifle Magazine","Revista Azure Rifle;"
"Ammo magazine for the Assault Rifle. It is automatically used when reloading, if stored in backpack.","Magazine de munición para el rifle de asalto. Se usa automáticamente al recargar, si se almacena en la mochila.;"
"Magnalium","Magnalio;"
"An alloy with high strength, workability and low density commonly used in various vehicles types.","Una aleación con alta resistencia, trabajabilidad y baja densidad comúnmente utilizada en varios tipos de vehículos.;"
"Frenzy","Frenesí;"
"Advanced compound created to increase your health and stamina.","Compuesto avanzado creado para aumentar su salud y resistencia.;"
"Aluminum","Aluminio;"
