"English","italiano";
"A slashing tool that is essentially a sharpened metal ingot on a stick with some tape.","Uno strumento di taglio che è essenzialmente un lingotto di metallo affilato su un bastone con un po 'di nastro.";
"Bolt Rifle","Fucile bullone";
"Scrap Hinge","Cerniera per rottami";
"A small hinge salvaged from debris.","Una piccola cerniera recuperata dai detriti.";
"Medkit","Medkit.";
"Advanced medical kit that heals a lot of hitpoints. Can be used while equipped or straight from inventory.","Kit medico avanzato che guarisce molti hitpoint. Può essere utilizzato mentre equipaggiato o direttamente dall'inventario.";
"Plastic","Plastica";
"Crafting item for building structures, walls, and other items.","Articolo di crafting per costruire strutture, pareti e altri oggetti.";
"Propellant Tank","Carro armato propellente";
"Where propellant is stored in a container belonging within a vehicle.","Dove il propellente è immagazzinato in un contenitore appartenente all'interno di un veicolo.";
"Flare","Flare";
"Bashing Rock","Bashing rock.";
"Useful when you have no other tools.","Utile quando non hai altri strumenti.";
"Broken Barrel","Bariletto rotto";
"A Barrel that has been damaged and can no longer store gases. A few patches could make this functional again.","Un barile che è stato danneggiato e non può più riporre i gas. Alcune patch potrebbero rendere di nuovo questo funzionale.";
"Vampire Dust","Polvere di vampiri";
"Agility Boosted: ","Agility ha aumentato:";
"Advanced compound created to boost your strength and speed.","Composto avanzato creato per aumentare la forza e la velocità.";
"Carbon Ingot","Lingotto di carbonio";
"

- Melting point: 3550 °C
","

- Punto di fusione: 3550 ° C
";
"Inflatable Dome Kit","Kit cupola gonfiabile";
"Kit used to build Inflatable Dome. To build, right-click on Inventory Item and select Build or select the Inflatable Dome from the Structures tab in your Character Menu.","Kit utilizzato per costruire cupola gonfiabile. Per creare, fare clic con il tasto destro del mouse sull'elemento di inventario e selezionare Build o Selezionare la cupola gonfiabile dalla scheda Structures nel menu del carattere.";
"Grilled Tumbo Meat","Carne di tumbo alla griglia";
"Meat ripped right off the body of a Tumbo. Has been cooked and is safe to eat.","Carne strappata proprio dal corpo di un tumbo. È stato cucinato ed è sicuro da mangiare.";
"Chisel","Scalpello";
"Powerful blunt tool used for mining mineral ores with a hardness of 7. It can be reused for melee combat.","Potente strumento smussato utilizzato per minerali minerali minerari con durezza di 7. Può essere riutilizzato per il combattimento corpo a corpo.";
"Hiking Cleats","Tacchette da trekking";
"25% critical hit","Colpo critico del 25%";
"Ammo magazine for the Bolt Rifle. It is automatically used when reloading, if stored in backpack.","Magazine di munizioni per il fucile da bullone. Viene utilizzato automaticamente quando si ricarica, se conservato nello zaino.";
"Stim Unit Mk. II","Stim Unità MK. II.";
"Scrap Metal","Rottami metallici";
"Small pieces of metal left over after the greater portion of metal has already been used.","Piccoli pezzi di metallo rimasti dopo la maggior parte della porzione di metallo è già stato utilizzato.";
"Tungsten Ingot","Tungsten Lingot.";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 3422 °C
","I lingotti sono mattoni di materiali da costruzione purificati. Lo userai per costruire molte cose diverse.

- Punto di fusione: 3422 ° C
";
"Uranium","Uranio";
"A dense, radioactive metal used commonly in nuclear fission based power generation.
","Un metallo denso e radioattivo utilizzato comunemente nella generazione di potenza basata sulla fissione nucleare.
";
"Nitrogen","Azoto";
"An odorless and colorless component of nucleic acids, amino acids, and thus proteins, important to create fertilisers and explosives.","Un componente inodore e incolore di acidi nucleici, aminoacidi e così proteine, importanti per creare fertilizzanti ed esplosivi.";
"Cobalt","Cobalto";
"A metal often used in the creation of magnets, batteries and as an additive in wear-resistant alloys.","Un metallo spesso utilizzato nella creazione di magneti, batterie e come additivo in leghe resistenti all'usura.";
"Pipe","Tubo";
"50% critical hit","50% di colpi critici";
"A basic formed pipe, can be used as a melee weapon.","Un tubo di base formato, può essere usato come arma da mischia.";
"Makeshift Laser Chisel","Scalpello laser improvvisato";
"An overclocked makeshift laser that can slowly sample the hardest minerals, its short battery life makes it a poor mining device.","Un laser improvvisato overcloccato che può lentamente assaggiare i minerali più duri, la sua durata della batteria corta lo rende un povero dispositivo minerario.";
"D24k Assault Rounds","Round d'assalto D24K.";
"Zirconium Circuit Board","Circuito di zirconio";
"Mother board made using zirconium and used when building certain complex structures, vehicles, and items.","Scheda madre realizzata con zirconio e utilizzato quando si costruisce determinate strutture, veicoli e oggetti complessi.";
"Yellow Pedal Flower","Fiore del pedale giallo.";
"Indigenous fungus found in the wild. It's poisonous to eat, but can be used to craft special items.","Fungo indigeno trovato in natura. È velenoso da mangiare, ma può essere utilizzato per artigianato oggetti speciali.";
"Wrench","Chiave inglese";
"A basic multi-tool that can be used for repairing, salvaging, and precise tinkering.","Un multi-strumento di base che può essere utilizzato per riparare, salvare e armeggiare precisi.";
"Battery","Batteria";
"Replaces depleted battery in flashlight.","Sostituisce la batteria esaurita in torcia elettrica.";
"Gem Leaf Fruit","Gem foglia frutta";
"Very nutritious food to replenish hunger. Can be eaten while equipped or straight from storage.","Cibo molto nutriente per ricostituire la fame. Può essere mangiato mentre equipaggiato o direttamente dallo spazio di archiviazione.";
"Azurnium","Azurnio.";
"Strange crystal with sparsely understood physical properties. Useful in High-Tech devices.","Strano cristallo con proprietà fisiche scarsamente comprese. Utile nei dispositivi high-tech.";
"Shaped Crab Antenna","Antenna di granchio sagomata";
"A shaped fragment of a Crab Antenna, could be fashioned into a crude precision tool.","Un frammento sagomato di un'antenna di granchio, potrebbe essere modellata in uno strumento di precisione del greggio.";
"Blitz","Blitz.";
"A weak compound created to give a small boost to your stamina.","Un composto debole creato per dare una piccola spinta alla tua resistenza.";
"Fungus","Fungo";
"Heat Sink Unit Mk. III","Unità del dissipatore di calore MK. III.";
"Light Unit Mk. I","Unità luminosa MK. io";
"Crude Pipe","Tubo grezzo";
"A crude pipe fashioned from bent scrap metal.","Un tubo grezzo modellato da rottami piegati in metallo.";
"Orcek Soup","Zuppa di orcek.";
"Delicious broth preserved in highly mobile packaging. Eat while equipped or straight from inventory.","Brodo delizioso conservato in confezione altamente mobile. Mangiare mentre equipaggiato o direttamente dall'inventario.";
"Charge Rifle","Caricare il fucile";
"Hydrogen","Idrogeno";
"A highly-flammable gas that is without both color and odor, and is used mainly as rocket fuel for energy.","Un gas altamente infiammabile che sia senza colori e odore, ed è usato principalmente come combustibile missilistico per l'energia.";
"Obsidian","Obsidiana";
"A volcanic glass capable of being knapped into sharp blades.","Un bicchiere vulcanico capace di essere chiuso in lame affilate.";
"Gnat Hook","Gnat gancio";
"Crafting item for building weapon modifications, calcium powder 
and other items.","Articolo di crafting per la costruzione di modifiche dell'arma, polvere di calcio
e altri oggetti.";
"White Gold","Oro bianco";
"A malleable alloy used most commonly in jewelry, could be used for manufaturing small parts.","Una lega malleabile utilizzata più comunemente nei gioielli, potrebbe essere utilizzata per produrre piccole parti.";
"Zircaloy","Zircoia";
"High heat, hardness, and corrosion resistant alloy.","Alto calore, durezza e lega resistente alla corrosione.";
"Zinc","Zinco";
"A brittle metal generally used as an anti-corrosive coating and in various alloys.","Un metallo fragile generalmente usato come rivestimento anticorrosivo e in varie leghe.";
"Snake Stew","Stufato di serpente";
"Gnat Meat","Carne di gnat.";
"Meat ripped right off the body of a Gnat. Cook to avoid food poisoning.","La carne ha strappato proprio dal corpo di un Gnat. Cuocere per evitare l'avvelenamento da cibo.";
"Oxygen","Ossigeno";
"A life-supporting colorless and odorless gas.","Un gas incolore e inodore a sostegno della vita.";
"Solar Unit","Unità solare";
"Flashlight Battery Recharge: ","Ricarica della batteria della torcia elettrica:";
"Key Card Tier-2","Carta chiave Tier-2";
"A mid-level clearance keycard used to open Osiris mission doors in abandoned settlements and mines.","Un keycard di clearance a livello medio utilizzato per aprire le porte di missione Osiris in insediamenti e miniere abbandonati.";
"Light Range Extender","Extender della gamma leggera";
"Cast Iron","Ghisa";
"High-Carbon steel alloy that is strong under compression and can be used for armor plating.","Lega in acciaio ad alta carbonio che è forte sotto compressione e può essere utilizzata per la placcatura dell'armatura.";
"Alien Fiber","Fibra aliene";
"Fibrous material harvested from indigenous plantlife. Can be woven into cloth that is an ingredient to craft many different items.","Materiale fibroso raccolto da impianti indigeni. Può essere intrecciato in un panno che è un ingrediente per creare molti oggetti diversi.";
"Leather","Pelle";
"Tanned piece of animal skin used in crafting.
","Pezzo abbronzato di pelle animale usata nel crafting.
";
"Assault Rifle","Fucile d'assalto";
"Talonite","Talonite.";
"Durable alloy that holds an edge very well. Used in high precision applications.","Lega duratura che tiene molto bene un vantaggio. Utilizzato in applicazioni ad alta precisione.";
"Blaster Cell","Cella di blaster.";
"Basic laser blaster cell.","Cella di base laser blaster.";
"Assault Rifle Commander","Comandante del fucile d'assalto";
"Land Mine Set","Terra miniera set.";
"An explosive device that is used for defending you and your colony.","Un dispositivo esplosivo utilizzato per difendere te e la tua colonia.";
"Lonsdaleite","Lonsdaleite.";
"An allotrope of carbon that is a precursor to the crystalline formation of diamonds.","Un allotro di carbonio che è un precursore della formazione cristallina dei diamanti.";
"Booster Unit Mk. II","BOOSTER UNIT MK. II.";
"Titanium","Titanio";
"A low density, high strength metal commonly used in aeronautical crafts due to its high tensile strenght to density ratio and corrosion resistance.","Una bassa densità, metallo ad alta resistenza comunemente utilizzato in artigianato aeronautico grazie alla sua elevata forza di resistenza al rapporto di densità e alla resistenza alla corrosione.";
"Alien Meat","Carne aliene";
"Meat ripped right off the body of an indigenous alien creature. Cook to avoid food poisoning.","Carne strappata proprio dal corpo di una creatura aliena indigena. Cuocere per evitare l'avvelenamento da cibo.";
"Alien Tissue","Tessuto alien.";
"Tissue ripped right off the body of an indigenous alien creature.","Il tessuto è strappato proprio dal corpo di una creatura aliena indigena.";
"Steel","Acciaio";
"Complex metal used for building advanced structures and walls.

- Melting point: 1370 °C
","Metallo complesso utilizzato per costruire strutture e pareti avanzate.

- Punto di fusione: 1370 ° C
";
"Solar Unit Mk. I","Unità solare MK. io";
"Desert Yuccudis Fruit","Desert Yuccudis Fruit.";
"Nutritious fruit to replenish hunger and slightly damage your health. Can be eaten while equipped or straight from storage. Also used as an ingredient in the crafting of some items.","Frutta nutriente per ricostituire la fame e danneggiare leggermente la tua salute. Può essere mangiato mentre equipaggiato o direttamente dallo spazio di archiviazione. Utilizzato anche come ingrediente nel crafting di alcuni articoli.";
"Heat Sink Unit Mk. II","Unità del dissipatore di calore MK. II.";
"Glide Unit","GLIDE UNITÀ.";
"Gravity Strength: ","Forza gravitazionale:";
"Scrap Rubber","Rottami gomma";
"Small pieces of rubber that need to be melted down and reformed to be useful.","Piccoli pezzi di gomma che devono essere sciolti e riformati per essere utili.";
"Crab Stew","Stufato di granchio";
"A delicious stew with added Crab Meat, Potatoes, and Carrots. Eat while equipped or straight from inventory.","Uno stufato delizioso con carne di granchio aggiunta, patate e carote. Mangiare mentre equipaggiato o direttamente dall'inventario.";
"Skeliopod Tail","Coda di skeliopod.";
"Tail taken from a Skeliopod to be used for crafting purposes.","Coda presa da uno skeliopod da utilizzare per scopi di crafting.";
"02 Pump Unit Mk. I","02 unità pompa MK. io";
"Light Unit Mk. III","Unità luminosa MK. III.";
"Explosive","Esplosivo";
"A chemical explosive.","Un esplosivo chimico.";
"Chromium","Cromo";
"A hard metal that is the main additive in stainless steel due to its increase in strengthening and corrosion resistance when alloying.","Un metallo duro che è l'additivo principale in acciaio inox grazie al suo aumento del rafforzamento e della resistenza alla corrosione durante la lega.";
"Crab Eye","Occhio di granchio";
"Eye recovered from a crab monster.","Occhio recuperato da un mostro di granchio.";
"Afterburner","Afterburner.";
"A weak compound created to give a small boost to your carrying capacity.","Un composto debole creato per dare una piccola spinta alla tua capacità di carico.";
"Arctlily","Arctellily.";
"Petals from an Arctlily, thrives in extremely cold climates.","Petali da un Arclily, prospera in climi estremamente freddi.";
"Stim Unit Mk. I","Stim Unità MK. io";
"Backpack Storage","Deposito bagagli.";
"T19 Assault Rounds","T19 Assault Rounds.";
"5% critical hit","Colpo critico del 5%";
"Broken Glass","Vetro rotto";
"Fragments of glass. Would need to be melted and reformed to create usable glass.","Frammenti di vetro. Dovrebbe essere fuso e riformato per creare vetro utilizzabile.";
"Grilled Orcek Meat","Carne di orcek alla griglia";
"Meat ripped right off the body of an Orcek. Has been cooked and is safe to eat.","Carne strappata proprio dal corpo di un orcek. È stato cucinato ed è sicuro da mangiare.";
"Cloth Bundle","Bundle di stoffa";
"A bundle of tightly woven fibers.","Un fascio di fibre strettamente tessute.";
"Bronze","Bronzo";
"A basic alloy commonly used as a material for mechanical parts in modern times.","Una lega di base comunemente usata come materiale per le parti meccaniche nei tempi moderni.";
"Aluminum Ingot","Lingotto di alluminio";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 660.3 °C
","I lingotti sono mattoni di materiali da costruzione purificati. Lo userai per costruire molte cose diverse.

- Punto di fusione: 660.3 ° C
";
"Titanium Ingot","Lingotto in titanio";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1668 °C
","I lingotti sono mattoni di materiali da costruzione purificati. Lo userai per costruire molte cose diverse.

- Punto di fusione: 1668 ° C
";
"Diamond Chisel","Scalpello di diamante";
"A chisel with a diamond tip that can chip away at the hardest of minerals.","Uno scalpello con una punta di diamanti che può trasmettere al più forte dei minerali.";
"Conduit Bender","Conduit Bender.";
"A heavy blunt weapon commonly used for bending pipes. Makes for an effective bludgeoning weapon.","Un'arma smussata pesante comunemente usata per le tubi di piegatura. Rende un'efficace arma rangillante.";
"Data Disk SN:134.33","Disco dati SN: 134.33";
"Status: ","Stato:";
" (3 chances)"," (3 possibilità)";
"Booster Unit Mk. III","BOOSTER UNIT MK. III.";
"Unlocks Ability: ","Sbloccabilità:";
"Blue Palms","Palme blu";
"Large blue palms taken from an indiginous plant that are used as an ingredient to craft many different items.","Grandi palme blu prelevate da una pianta indiginosa che vengono utilizzate come ingrediente per creare molti oggetti diversi.";
"Tungsten","Tungsteno";
"A hard, dense metal often used to make hard material alloys and armor-piercing projectiles.","Un metallo duro e denso spesso utilizzato per realizzare leghe materiali dure e proiettili per armori.";
"Skeliopod Shell","Shell skeliopod.";
"Shell taken from a Skeliopod to be used for building defensive walls.","Guscio prelevato da un skeliopod da utilizzare per la costruzione di pareti difensive.";
"Crab Meat","Polpa di granchio";
"Meat taken from the body of a Crab monster. Cook to avoid food poisoning.","Carne presa dal corpo di un mostro di granchio. Cuocere per evitare l'avvelenamento da cibo.";
"Fuel Compressor","Compressore combustibile";
"Zirconium","Zirconio";
"A lustrous metal primarily used as a refractory and opacifier.","Un metallo lustro usato principalmente come refrattario e opacificatore.";
"Scrap Antenna","Antenna rottame";
"Pieces of antenna's that have been left over.","Pezzi di antenna che sono stati lasciati.";
"Hydrochloric Acid","Acido cloridrico";
"Violent chemical used to disintegrate matter.","Chimica violenta usata per disintegrare la materia.";
"Shovel","Pala";
"Tool used to gather Sand for use in crafting.","Strumento utilizzato per raccogliere la sabbia per l'uso in lavorazione.";
"Shard Blade","SHARD BLADE.";
"A small sharp weapon made from a rock shard.","Una piccola arma affilata fatta da un frammento roccioso.";
"Steamed Carrot","Carota al vapore";
"Nutritious steamed carrot. Eat while equipped or straight from inventory.","Carota al vapore nutriente. Mangiare mentre equipaggiato o direttamente dall'inventario.";
"Suit Heater","Suit riscaldatore";
"Recovery Unit","Unità di recupero";
"Damage Taken: ","Danni presi:";
"Stone Shovel","Pala in pietra";
"Wire","Filo";
"Complex material used for crafting complex electric devices.","Materiale complesso utilizzato per curare dispositivi elettrici complessi complessi.";
"Voice Log1","Log1 vocale.";
"VoiceLog1","VoiceLog1.";
"02 Pump Unit Mk. II","02 unità pompa MK. II.";
"Zoom","Ingrandisci";
"A compound created to give a boost to your speed.","Un composto creato per dare una spinta alla tua velocità.";
"Zirconium Plate","Piastra zirconio";
"Metal plating used for building certain advanced structures and walls.

- Melting point: 1370 °C
","Placcatura in metallo utilizzata per costruire determinate strutture e pareti avanzate.

- Punto di fusione: 1370 ° C
";
"Tactical Knife","Coltello tattico";
"The Tactical Knife is a sharp weapon that is quieter to use than most weapons.","Il coltello tattico è un'arma tagliente che è più silenziosa da usare rispetto alla maggior parte delle armi.";
"Lens Cover","Cover per lenti";
"Tumbo Meat","Carne di tumbo";
"Meat taken from the body of a Tumbo. Cook to avoid food poisoning.","Carne presa dal corpo di un tumbo. Cuocere per evitare l'avvelenamento da cibo.";
"Skeliopod Stew","Stufato di skeliopod.";
"A-2 Heavy Assault Rounds","A-2 round d'assalto pesante";
"Advanced ammo magazine for the Heavy Assault Rifle. It is automatically used when reloading, if stored in backpack.","Magazine avanzata di munizioni per il pesante fucile d'assalto. Viene utilizzato automaticamente quando si ricarica, se conservato nello zaino.";
"Stone Axe","Ascia di pietra";
"A slashing tool that is essentially a rock on a stick with a nice handle.","Uno strumento che è essenzialmente una roccia su un bastone con una bella maniglia.";
"Makeshift Cloth Bundle","Bundle di stoffa improvvisato";
"A makeshift bundle of loosely woven fibers.","Un fascio di fortuna di fibre antigas.";
"Stone Blade","Lama di pietra";
"A sharpened rock that can be used to make a blade.","Una roccia affilata che può essere usata per fare una lama.";
"Stone Axe Head","Testa di ascia di pietra";
"A sharpened rock that can be used to make an axe","Una roccia affilata che può essere utilizzata per fare un'ascia";
"Beetle Ball","Sfera di coleottero";
"Sack taken from a Skeliopod.","Sacco preso da un skeliopod.";
"Gnat Leg","GNAT GAMBE.";
"Leg ripped right off the body of a Gnat. The meat can be cooked or the bone from the leg can be used to make a weapon.","Gamba strappata proprio dal corpo di un Gnat. La carne può essere cucinata o l'osso dalla gamba può essere usato per fare un'arma.";
"Bark","Abbaiare";
"Tree bark is used as an ingrediant to make different items in chemistry.","L'abbaio dell'albero è usato come ingrediente per rendere diversi oggetti in chimica.";
"Water","acqua";
"Liquid used for crafting more advanced items. Can also be drank to quench thirst.","Liquido utilizzato per l'elaborazione di articoli più avanzati. Può anche essere bevuto per dissetare la sete.";
"Coral Branches","Rami di corallo";
"Branches taken from a fan coral used as an ingredient to make different items in chemistry.","Rami presi da un corallo ventilatore utilizzato come ingrediente per rendere diversi oggetti in chimica.";
"Botany Kit","Botany Kit.";
"Tool used for extracting fluids from plants and creatures.","Strumento utilizzato per estrarre fluidi da impianti e creature.";
"Copper","Rame";
"A soft, ductile metal with high electrical and thermal conductivity, commonly used in electrical wiring.","Un metallo morbido e duttile con elevata conduttività elettrica e termica, comunemente utilizzata nel cablaggio elettrico.";
"P C X","P c x.";
"Liquid used for crafting more advanced items.","Liquido utilizzato per l'elaborazione di articoli più avanzati.";
"Urchin Shell","Guscio di urchin";
"Part of an urchin found on land. It's dangerous to eat raw, but can be used for crafting and cooking.","Parte di un riccio trovato sulla terra. È pericoloso mangiare crudo, ma può essere usato per artigianale e cucinare.";
"Hydrogen Torch","Torcia di idrogeno";
"Fern Tree Berry","Berry Berry.";
"Charred Alien Bits","Bit alieni carbonizzati";
"Bits of Alien Meat quickly cooked in extremely high temperature, not too tasty, but its technically safe to eat.","I bit di carne aliene si cucinarono rapidamente in temperature estremamente elevate, non troppo gustosi, ma è tecnicamente sicuro da mangiare.";
"Alien Hide","Nascondi";
"Hide skinned from the body of an indigenous alien creature.","Nascondere la pelle dal corpo di una creatura aliena indigena.";
"Crab Egg","Uovo di granchio";
"Egg taken from the body of a Crab monster. Cook to avoid food poisoning.","Uovo prelevato dal corpo di un mostro di granchio. Cuocere per evitare l'avvelenamento da cibo.";
"Scrap Dish","Rottami";
"Dish parts that have been left over.","Parti del piatto che sono rimasti.";
"Molybdenum","Molibdeno";
"A metal that is commonly used for the strengthening of steel.","Un metallo comunemente usato per il rafforzamento dell'acciaio.";
"Iron","Ferro";
"A moderately soft metal commonly used as a structural material when alloyed with other elements, mostly in the form of Steel.","Un metallo moderatamente morbido comunemente usato come materiale strutturale se legato con altri elementi, soprattutto sotto forma di acciaio.";
"Arachnoid Meat","Carne aracnoidea";
"Meat ripped right off the body of a Arachnoid. Cook to avoid food poisoning.","Carne strappata proprio dal corpo di un aracnoide. Cuocere per evitare l'avvelenamento da cibo.";
"Stone Shovel Head","Testa di pala in pietra";
"A shaped rock that can be used to make a shovel.","Una roccia sagomata che può essere usata per fare una pala.";
"Sponge Tubes","Tubi di spugna";
"Tubes taken from a sponge tube trees used as an ingredient to make different items in chemistry.","Tubi presi da un tubo di spugna Utilizzato come ingrediente per rendere diversi articoli in chimica.";
"Tumbo Soup","Zuppa di tumbo";
"Orcek Leg","Orcek gamb.";
"Leg ripped right off the body of a Orcek. Cook to avoid food poisoning.","Gamba strappata subito dal corpo di un orcek. Cuocere per evitare l'avvelenamento da cibo.";
"Grilled Alien Meat","Carne aliena grigliata";
"Meat ripped right off the body of an indigenous alien creature. Has been cooked and is safe to eat.","Carne strappata proprio dal corpo di una creatura aliena indigena. È stato cucinato ed è sicuro da mangiare.";
"Storage Unit Mk. II","Stoccaggio MK. II.";
"Data Disk SN:144.22","Disco dati SN: 144.22";
"Redfern Tree Berry","Berry di albero di Redfern.";
"Nutritious fruit to replenish hunger and will slightly improve your health. Can be eaten while equipped or straight from storage. Also used as an ingredient in the crafting of some items.","Frutta nutriente per ricostituire la fame e migliorerà leggermente la tua salute. Può essere mangiato mentre equipaggiato o direttamente dallo spazio di archiviazione. Utilizzato anche come ingrediente nel crafting di alcuni articoli.";
"Moonshroom","Moonshoom";
"Indigenous fungus found on the surface of Lutari. It's edible, but isn't very nutritious.","Fungo indigeno trovato sulla superficie di Lutari. È commestibile, ma non è molto nutriente.";
"Brass","Ottone";
"Soft alloy that excels in low friction applications.","Lega morbida che eccelle nelle applicazioni a basso attrito.";
"Cryo Rifle Ammo","Cryo fucile munizioni";
"Advanced water filled ammo clip for a Cryo Rifle. This water filled container can only be fabricated in and advanced fabricator.","Ammortizzatore avanzato per un fucile critico. Questo contenitore riempito d'acqua può essere fabbricato solo in e fabbricatore avanzato.";
"Tumbo Leg","Tumbo Leg.";
"Leg taken from the body of a Tumbo. Cook to avoid food poisoning.","Gamba presa dal corpo di un tumbo. Cuocere per evitare l'avvelenamento da cibo.";
"Berry Juice","Succo di bacca";
"A syrupy, tart juice created from cooked berries.","Un sciropposo, succo di crostata creato da bacche cotte.";
"Magnesium","Magnesio";
"A metal susceptible to corrosion commonly used in creating lightweight materials and alloys.","Un metallo suscettibile alla corrosione comunemente utilizzato nella creazione di materiali e leghe leggere.";
"Cooked Orcek Egg","Cotto uovo orcek.";
"Delicious cooked Orcek Egg. Eat while equipped or straight from inventory.","Delizioso uovo cucinato Orcek. Mangiare mentre equipaggiato o direttamente dall'inventario.";
"Hydrocarbon Solution","Soluzione di idrocarburi";
"A solution rich in hydrocarbons, very flamable and combustible, can be refined into a better fuel.","Una soluzione ricca di idrocarburi, molto fiammeggiabile e combustibile, può essere raffinata in un combustibile migliore.";
"Methane Gas","Gas metano";
"A flammable gas that is both colorless and odorless. It is the main constituent of natural gas, as well as the simplest member of the alkane series of hydrocarbons.","Un gas infiammabile che è sia incolore che inodore. È il principale costituente del gas naturale, così come il membro più semplice della serie di idrocarburi di alcano.";
"Data Disk SN:851.47","Disco dati SN: 851.47";
" (0 chances)"," (0 possibilità)";
"Radar Scanner","Scanner radar";
"Advanced handheld Radar Scanner used for navigating terrain and scanning for resources based on their elemental density. Equip item to activate scanner.","Scanner radar portatile avanzato utilizzato per la navigazione del terreno e la scansione per le risorse in base alla loro densità elementare. Equipaggia l'articolo per attivare lo scanner.";
"Gnat Stew","Gnat stufato";
"Snake Spikes","Spighe di serpente";
"Spikes taken from the back of a snake.","Picchi presi dal retro di un serpente.";
"Cobalt Pistol","Pistola cobalto";
"Laser Cell","Cella laser";
"15% critical hit","Colpo critico del 15%";
"Broken Circuit Board","Circuito rotto";
"A Circuit Board that has been broken and is missing some circuitry, could be repaired to be functional again.","Un circuito stampato che è stato rotto e manca alcuni circuiti, potrebbe essere riparato per essere funzionante di nuovo.";
"Dragon Tooth","Dente Dragon";
"Powerful piercing melee weapon with a sharp obsidian blade.","Potente armi da piercing con una tagliente lama ossidiana.";
"Arachnoid Teeth","Denti aracnoidi";
"Hover Booster","Booster Hover.";
"Stim Unit","Unità di stimolo";
"Nichrome","Nichrome";
"An alloy with high electrical resistance commonly used in heating elements.","Una lega con alta resistenza elettrica comunemente utilizzata negli elementi riscaldanti.";
"Crude Metal Sword","Spada in metallo grezzo";
"60% critical hit","Colpo critico del 60%";
"A crude sharp weapon made from a piece of sharpened metal. ","Un'arma ruvida grezzo fatta da un pezzo di metallo affilato.";
"Solar Unit Mk. III","Unità solare MK. III.";
"Lithium","Litio";
"The lightest and least dense metal, while commonly used in the creation of batteries, can also be used in air purification applications.","Il metallo più leggero e meno denso, mentre comunemente usato nella creazione di batterie, può essere utilizzato anche nelle applicazioni di purificazione dell'aria.";
"Masking Tape","Nastro adesivo";
"Suit Integrity Bonus: ","Bonus di integrità del vestito:";
"IMPORTANT! Use masking tape to repair suit punctures. Can be used while equipped or straight from inventory.","IMPORTANTE! Utilizzare il nastro adesivo per riparare le forature dei vestiti. Può essere utilizzato mentre equipaggiato o direttamente dall'inventario.";
"Cinna Fern","Cinna Fern.";
"Leather Straps","Cinturini in pelle";
"Sections of leather used in crafting.","Sezioni di pelle utilizzate in lavorazione.";
"Recovery Unit Mk. II","Unità di recupero MK. II.";
"Fuel Compressor Mk. III","Compressore del carburante MK. III.";
"Wrath","Ira";
"Advanced compound created to increase your carrying capacity and stamina.","Composto avanzato creato per aumentare la capacità di carico e la resistenza.";
"Gunmetal","Gunmetal.";
"Corrosion resistant alloy commonly used in weapons.","Lega resistente alla corrosione comunemente usata nelle armi.";
"Flourescence","Frodo";
"Liquid that has lumenescent properties.","Liquido che ha proprietà lumenscenti.";
"Magnesium Ingot","Lingotto di magnesio";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 650 °C
","I lingotti sono mattoni di materiali da costruzione purificati. Lo userai per costruire molte cose diverse.

- Punto di fusione: 650 ° C
";
"Silver","Argento";
"A precious metal with very high electrical and thermal conductivity.","Un metallo prezioso con conduttività elettrica e termica molto elevata.";
"Metal material found off of broken human made structures and vehicles. Can be recycled into other materials or used to create makeshift structures and other items.","Materiale metallico trovato fuori da strutture e veicoli umani rotti. Può essere riciclato in altri materiali o utilizzato per creare strutture improvvisate e altri elementi.";
"Cooling Unit Mk. III","Unità di raffreddamento MK. III.";
"Blue Blades","Blue Blades.";
"Blades taken from a Blueblade plant used as an ingredient to craft different items. Can also be eaten.","Le lame prese da una pianta da blueblade utilizzate come ingrediente per creare oggetti diversi. Può anche essere mangiato.";
"Lava Leaves","Foglie di lava";
"Lava leaves are used as an ingredient to craft different items. Can be eaten for a small increase in health and nutrition.","Le foglie di lava sono usate come ingrediente per creare oggetti diversi. Può essere mangiato per un piccolo aumento della salute e della nutrizione.";
"Data Disk SN:251.35","Disco dati SN: 251.35";
"Makeshift Screwdriver","Cacciavite di fortuna";
"A makeshift multi-tool fashioned from scrap metal to allow for repairing, salvaging, and precise tinkering.","Un multi-utensile a forcella è stato modellato da rottami metallici per consentire la riparazione, il salvagamento e il preciso tingering.";
"Spicy Sausage Gumbo","Gumbo speziato salsiccia";
"An extravagant, delicious stew with multiple types of meats and vegetables. Eat while equipped or straight from inventory.","Uno stufato stravagante e delizioso con molteplici tipi di carni e verdure. Mangiare mentre equipaggiato o direttamente dall'inventario.";
"C19 Heavy Assault Rifle","C19 fucile d'assalto pesante";
"Human Waste","Spreco umano";
"Fertilizer to be mixed with Sand to create Soil for growing crops.","Fertilizzante da miscelare con sabbia per creare terreno per colture crescenti.";
"O2 Pump","Pompa O2.";
"Cooked Crab Egg","Uovo di granchio cotto";
"Delicious cooked Crab Monster Egg. Eat while equipped or straight from inventory.","Delizioso uovo del mostro del granchio cotto. Mangiare mentre equipaggiato o direttamente dall'inventario.";
"Azure Rifle Magazine","Azure Rifle Magazine.";
