"English","Français";
"Where propellant is stored in a container belonging within a vehicle.","Lorsque le propulseur est stocké dans un conteneur appartenant à un véhicule.";
"Flare","Éclater";
"Bashing Rock","Bashing rock";
"Useful when you have no other tools.","Utile lorsque vous n'avez pas d'autres outils.";
"Broken Barrel","Baril cassé";
"A Barrel that has been damaged and can no longer store gases. A few patches could make this functional again.","Un baril endommagé et ne peut plus stocker des gaz. Quelques patchs pourraient encore faire cela fonctionnelle.";
"Vampire Dust","Poussière de vampire";
"Agility Boosted: ","L'agilité a augmenté:";
"Advanced compound created to boost your strength and speed.","Composé avancé créé pour augmenter votre force et votre vitesse.";
"Carbon Ingot","Lingot de carbone";
"

- Melting point: 3550 °C
","

- Point de fusion: 3550 ° C
";
"Inflatable Dome Kit","Kit de dôme gonflable";
"Kit used to build Inflatable Dome. To build, right-click on Inventory Item and select Build or select the Inflatable Dome from the Structures tab in your Character Menu.","Kit utilisé pour construire un dôme gonflable. Pour construire, cliquez avec le bouton droit de la souris sur l'élément d'inventaire et sélectionnez Construire ou sélectionnez le dôme gonflable de l'onglet Structures dans votre menu de caractères.";
"Grilled Tumbo Meat","Viande tumbo grillée";
"Meat ripped right off the body of a Tumbo. Has been cooked and is safe to eat.","La viande déchirée directement du corps d'un tumbo. A été cuit et est sûr de manger.";
"Chisel","Ciseau";
"Powerful blunt tool used for mining mineral ores with a hardness of 7. It can be reused for melee combat.","Outil émoussé puissant utilisé pour minerais minéraux minéraux avec une dureté de 7. Il peut être réutilisé pour le combat de mêlée.";
"Hiking Cleats","Tarifs de randonnée";
"25% critical hit","25% de succès critique";
"Ammo magazine for the Bolt Rifle. It is automatically used when reloading, if stored in backpack.","Magazine Ammo pour le fusil de boulon. Il est automatiquement utilisé lors du rechargement, s'il est stocké dans Sac à dos.";
"Stim Unit Mk. II","Unité de stims MK. Ii";
"Scrap Metal","Ferraille";
"Small pieces of metal left over after the greater portion of metal has already been used.","Petites morceaux de métal laissés après que la plus grande partie du métal a déjà été utilisée.";
"Tungsten Ingot","Lingot de tungstène";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 3422 °C
","Les lingots sont des briques de matériaux de construction purifiés. Vous les utiliserez pour créer de nombreuses choses différentes.

- Point de fusion: 3422 ° C
";
"Uranium","Uranium";
"A dense, radioactive metal used commonly in nuclear fission based power generation.
","Un métal dense et radioactif utilisé généralement dans la production d'énergie basée sur la fission nucléaire.
";
"Nitrogen","Azote";
"An odorless and colorless component of nucleic acids, amino acids, and thus proteins, important to create fertilisers and explosives.","Un composant sans odeur et incolore d'acides nucléiques, d'acides aminés et donc de protéines, important de créer des engrais et des explosifs.";
"Cobalt","Cobalt";
"A metal often used in the creation of magnets, batteries and as an additive in wear-resistant alloys.","Un métal souvent utilisé dans la création d'aimants, de batteries et d'additif dans des alliages résistants à l'usure.";
"Pipe","Tuyau";
"50% critical hit","Hit critique de 50%";
"A basic formed pipe, can be used as a melee weapon.","Un tuyau formé de base peut être utilisé comme arme de mêlée.";
"Makeshift Laser Chisel","Tarif de laser de fortune";
"An overclocked makeshift laser that can slowly sample the hardest minerals, its short battery life makes it a poor mining device.","Un laser de fortune overclocké pouvant échantillonner lentement les minéraux les plus durs, sa courte durée de vie de la batterie en fait un mauvais appareil minier.";
"D24k Assault Rounds","Rondes d'assaut D24K";
"Zirconium Circuit Board","Circuit de zirconium";
"Mother board made using zirconium and used when building certain complex structures, vehicles, and items.","Board mère fabriqué à l'aide de zirconium et utilisé lors de la construction de certaines structures, véhicules et objets complexes.";
"Yellow Pedal Flower","Fleur de pédale jaune";
"Indigenous fungus found in the wild. It's poisonous to eat, but can be used to craft special items.","Champignon indigène trouvé dans la nature. Il est toxique de manger, mais peut être utilisé pour fabriquer des objets spéciaux.";
"Wrench","Clé";
"A basic multi-tool that can be used for repairing, salvaging, and precise tinkering.","Un multi-outil de base pouvant être utilisé pour la réparation, la récupération et le bricolage précis.";
"Battery","La batterie";
"Replaces depleted battery in flashlight.","Remplace la batterie appauvrie en lampe de poche.";
"Gem Leaf Fruit","Gemme de feuilles";
"Very nutritious food to replenish hunger. Can be eaten while equipped or straight from storage.","Nourriture très nutritive à reconstituer la faim. Peut être mangé tout équipé ou droit du stockage.";
"Azurnium","Azurnium";
"Strange crystal with sparsely understood physical properties. Useful in High-Tech devices.","Cristal étrange avec des propriétés physiques peu comprises. Utile dans les appareils de haute technologie.";
"Shaped Crab Antenna","Antenne de crabe en forme";
"A shaped fragment of a Crab Antenna, could be fashioned into a crude precision tool.","Un fragment de forme d'une antenne de crabe pourrait être façonné dans un outil de précision brut.";
"Blitz","Blitz";
"A weak compound created to give a small boost to your stamina.","Un composé faible créé pour donner un petit boost à votre endurance.";
"Fungus","Champignon";
"Heat Sink Unit Mk. III","Évin de chaleur MK. III";
"Light Unit Mk. I","Unité de lumière mk. je";
"Crude Pipe","Tuyau brut";
"A crude pipe fashioned from bent scrap metal.","Un tuyau brut façonné de la ferraille courbée.";
"Orcek Soup","Soupe à orcek";
"Delicious broth preserved in highly mobile packaging. Eat while equipped or straight from inventory.","Délicieux bouillon conservé dans des emballages très mobiles. Manger tout équipé ou droit de l'inventaire.";
"Charge Rifle","Fusil de charge";
"Hydrogen","Hydrogène";
"A highly-flammable gas that is without both color and odor, and is used mainly as rocket fuel for energy.","Un gaz très inflammable qui est sans couleur ni odeur, et est principalement utilisé comme carburant de fusée pour l'énergie.";
"Obsidian","Obsidienne";
"A volcanic glass capable of being knapped into sharp blades.","Un verre volcanique capable d'être cogné dans des lames tranchantes.";
"Gnat Hook","Goudronner";
"Crafting item for building weapon modifications, calcium powder 
and other items.","Article d'artisanat pour modification des armes de construction, Poudre de calcium
et d'autres articles.";
"White Gold","Or blanc";
"A malleable alloy used most commonly in jewelry, could be used for manufaturing small parts.","Un alliage malléable utilisé le plus souvent dans les bijoux pourrait être utilisé pour fabriquer de petites pièces.";
"Zircaloy","Zircaloy";
"High heat, hardness, and corrosion resistant alloy.","Alliage résistant à la chaleur, à la dureté et à la corrosion.";
"Zinc","Zinc";
"A brittle metal generally used as an anti-corrosive coating and in various alloys.","Un métal cassant généralement utilisé comme revêtement anti-corrosif et dans divers alliages.";
"Snake Stew","Ragoût de serpent";
"Gnat Meat","Viande de gnat";
"Meat ripped right off the body of a Gnat. Cook to avoid food poisoning.","La viande déchirée directement du corps d'un moucheron. Cuire pour éviter l'intoxication alimentaire.";
"Oxygen","Oxygène";
"A life-supporting colorless and odorless gas.","Un gaz incolore et sans odeur à la vie.";
"Solar Unit","Unité solaire";
"Flashlight Battery Recharge: ","Batterie de lampe de poche Recharge:";
"Key Card Tier-2","Carte de clé Tier-2";
"A mid-level clearance keycard used to open Osiris mission doors in abandoned settlements and mines.","Une carte de clés de clavier de niveau intermédiaire utilisé pour ouvrir les portes de mission d'Osiris dans des colonies et des mines abandonnées.";
"Light Range Extender","Extendeur de la plage de lumière";
"Cast Iron","Fonte";
"High-Carbon steel alloy that is strong under compression and can be used for armor plating.","Alliage d'acier à haute teneur en carbone qui est fort sous compression et peut être utilisé pour l'armure placée.";
"Alien Fiber","Fibre étrangère";
"Fibrous material harvested from indigenous plantlife. Can be woven into cloth that is an ingredient to craft many different items.","Matériau fibreux récolté de la planterlife indigène. Peut être tissé en tissu qui est un ingrédient pour créer de nombreux objets différents.";
"Leather","Cuir";
"Tanned piece of animal skin used in crafting.
","Morceau bronzé de peau d'animaux utilisé dans l'artisanat.
";
"Assault Rifle","Fusil d'assaut";
"Talonite","Talonite";
"Durable alloy that holds an edge very well. Used in high precision applications.","Alliage durable qui tient très bien un bord. Utilisé dans des applications de haute précision.";
"Blaster Cell","Cellule blaster";
"Basic laser blaster cell.","Cellule blaster laser de base.";
"Assault Rifle Commander","Commandant de fusil d'assaut";
"Land Mine Set","Mine terrestre";
"An explosive device that is used for defending you and your colony.","Un dispositif explosif utilisé pour vous défendre et votre colonie.";
"Lonsdaleite","Lonsdaleite";
"An allotrope of carbon that is a precursor to the crystalline formation of diamonds.","Un allotrope de carbone qui est un précurseur de la formation cristalline de diamants.";
"Booster Unit Mk. II","Booster Unité MK. Ii";
"Titanium","Titane";
"A low density, high strength metal commonly used in aeronautical crafts due to its high tensile strenght to density ratio and corrosion resistance.","Un métal à faible densité et haute résistance couramment utilisé dans les métiers aéronautiques en raison de sa forte résistance à la tensilité élevée au rapport de densité et à la résistance à la corrosion.";
"Alien Meat","Viande extraterrestre";
"Meat ripped right off the body of an indigenous alien creature. Cook to avoid food poisoning.","La viande s'est déchirée directement sur le corps d'une créature extraterrestre autochtone. Cuire pour éviter l'intoxication alimentaire.";
"Alien Tissue","Tissu extraterrestre";
"Tissue ripped right off the body of an indigenous alien creature.","Tissu déchiré à droite du corps d'une créature extraterrestre indigène.";
"Steel","Acier";
"Complex metal used for building advanced structures and walls.

- Melting point: 1370 °C
","Métal complexe utilisé pour construire des structures et des murs avancés.

- Point de fusion: 1370 ° C
";
"Solar Unit Mk. I","Unité solaire mk. je";
"Desert Yuccudis Fruit","Désert yuccudis fruit";
"Nutritious fruit to replenish hunger and slightly damage your health. Can be eaten while equipped or straight from storage. Also used as an ingredient in the crafting of some items.","Fruits nutritifs pour reconstituer la faim et endommager légèrement votre santé. Peut être mangé tout équipé ou droit du stockage. Également utilisé comme ingrédient dans l'artisanat de certains articles.";
"Heat Sink Unit Mk. II","Évin de chaleur MK. Ii";
"Glide Unit","Glide";
"Gravity Strength: ","Force de gravité:";
"Scrap Rubber","Caoutchouc";
"Small pieces of rubber that need to be melted down and reformed to be useful.","Petites morceaux de caoutchouc qui doivent être fondus et réformés pour être utiles.";
"Crab Stew","Ragoût de crabe";
"A delicious stew with added Crab Meat, Potatoes, and Carrots. Eat while equipped or straight from inventory.","Un délicieux ragoût avec de la viande de crabe ajoutée, des pommes de terre et des carottes. Manger tout équipé ou droit de l'inventaire.";
"Skeliopod Tail","Queue de skéliopode";
"Tail taken from a Skeliopod to be used for crafting purposes.","La queue prise d'un skeliopode à utiliser à des fins d'artisanat.";
"02 Pump Unit Mk. I","02 unité de pompe mk. je";
"Light Unit Mk. III","Unité de lumière mk. III";
"Explosive","Explosif";
"A chemical explosive.","Un explosif chimique.";
"Chromium","Chrome";
"A hard metal that is the main additive in stainless steel due to its increase in strengthening and corrosion resistance when alloying.","Un métal dur qui est l'additif principal en acier inoxydable en raison de son augmentation du renforcement et de la résistance à la corrosion lors de l'alliage.";
"Crab Eye","Crabe";
"Eye recovered from a crab monster.","Oeil récupéré d'un monstre de crabe.";
"Afterburner","Arrière-plan";
"A weak compound created to give a small boost to your carrying capacity.","Un composé faible créé pour donner un petit coup de pouce à votre capacité de charge.";
"Arctlily","Arclily";
"Petals from an Arctlily, thrives in extremely cold climates.","Les pétales d'un arclily, prospèrent dans des climats extrêmement froids.";
"Stim Unit Mk. I","Unité de stims MK. je";
"Backpack Storage","Stockage de sac à dos";
"T19 Assault Rounds","T19 ASSAULT TOURS";
"5% critical hit","Hit critique de 5%";
"Broken Glass","Verre brisé";
"Fragments of glass. Would need to be melted and reformed to create usable glass.","Fragments de verre. Aurait besoin d'être fondu et réformé pour créer du verre utilisable.";
"Grilled Orcek Meat","Viande orcek grillée";
"Meat ripped right off the body of an Orcek. Has been cooked and is safe to eat.","La viande déchirée directement sur le corps d'une orcek. A été cuit et est sûr de manger.";
"Cloth Bundle","Paquet de tissu";
"A bundle of tightly woven fibers.","Un paquet de fibres fermées.";
"Bronze","Bronze";
"A basic alloy commonly used as a material for mechanical parts in modern times.","Un alliage de base couramment utilisé comme matériau pour les pièces mécaniques dans les temps modernes.";
"Aluminum Ingot","Lingot d'aluminium";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 660.3 °C
","Les lingots sont des briques de matériaux de construction purifiés. Vous les utiliserez pour créer de nombreuses choses différentes.

- Point de fusion: 660,3 ° C
";
"Titanium Ingot","Lingot de titane";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1668 °C
","Les lingots sont des briques de matériaux de construction purifiés. Vous les utiliserez pour créer de nombreuses choses différentes.

- Point de fusion: 1668 ° C
";
"Diamond Chisel","Ciseau de diamant";
"A chisel with a diamond tip that can chip away at the hardest of minerals.","Un ciseau avec une pointe de diamant pouvant déchaîner le plus dur des minéraux.";
"Conduit Bender","Courant de conduite";
"A heavy blunt weapon commonly used for bending pipes. Makes for an effective bludgeoning weapon.","Une arme émoussée intense couramment utilisée pour les tuyaux de pliage. Fait pour une arme de matraque efficace.";
"Data Disk SN:134.33","Disque de données SN: 134.33";
"Status: ","Statut:";
" (3 chances)"," (3 chances)";
"Booster Unit Mk. III","Booster Unité MK. III";
"Unlocks Ability: ","Déverrouille la capacité:";
"Blue Palms","Paumes bleues";
"Large blue palms taken from an indiginous plant that are used as an ingredient to craft many different items.","Grands paumes bleues prélevées dans une plante indigineuse utilisée comme ingrédient pour fabriquer de nombreux objets différents.";
"Tungsten","Tungstène";
"A hard, dense metal often used to make hard material alloys and armor-piercing projectiles.","Un métal dur et dense souvent utilisé pour fabriquer des alliages matériels durs et des projectiles de piercing d'armure.";
"Skeliopod Shell","Skeliopod Shell";
"Shell taken from a Skeliopod to be used for building defensive walls.","Shell tiré d'un skeliopode à utiliser pour la construction de murs défensives.";
"Crab Meat","La chair de crabe";
"Meat taken from the body of a Crab monster. Cook to avoid food poisoning.","Viande prise du corps d'un monstre de crabe. Cuire pour éviter l'intoxication alimentaire.";
"Fuel Compressor","Compresseur de carburant";
"Zirconium","Zirconium";
"A lustrous metal primarily used as a refractory and opacifier.","Un métal lustré principalement utilisé comme réfractaire et opacifiant.";
"Scrap Antenna","Antenne de ferraille";
"Pieces of antenna's that have been left over.","Des morceaux d'antennes qui ont été laissés.";
"Hydrochloric Acid","Acide hydrochlorique";
"Violent chemical used to disintegrate matter.","Chemical violent utilisé pour désintégrer la matière.";
"Shovel","Pelle";
"Tool used to gather Sand for use in crafting.","Outil utilisé pour recueillir du sable à utiliser dans la fabrication de l'artisanat.";
"Shard Blade","Lame de shard";
"A small sharp weapon made from a rock shard.","Une petite arme aiguë faite d'un rochard.";
"Steamed Carrot","Carotte cuit à la vapeur";
"Nutritious steamed carrot. Eat while equipped or straight from inventory.","Carotte cuit à la vapeur nutritive. Manger tout équipé ou droit de l'inventaire.";
"Suit Heater","Chauffage de costume";
"Recovery Unit","Unité de récupération";
"Damage Taken: ","Les dégâts subis:";
"Stone Shovel","Pelleté de pierre";
"Wire","Fil";
"Complex material used for crafting complex electric devices.","Matériau complexe utilisé pour créer des appareils électriques complexes.";
"Voice Log1","Voice log1";
"VoiceLog1","Voicelog1";
"02 Pump Unit Mk. II","02 unité de pompe mk. Ii";
"Zoom","Zoom";
"A compound created to give a boost to your speed.","Un composé créé pour donner un coup de pouce à votre vitesse.";
"Zirconium Plate","Plaque de zirconium";
"Metal plating used for building certain advanced structures and walls.

- Melting point: 1370 °C
","Placage métallique utilisé pour construire certaines structures et murs avancés.

- Point de fusion: 1370 ° C
";
"Tactical Knife","Couteau tactique";
"The Tactical Knife is a sharp weapon that is quieter to use than most weapons.","Le couteau tactique est une arme aiguë qui est plus silencieuse à utiliser que la plupart des armes.";
"Lens Cover","Couvre-lentille";
"Tumbo Meat","Viande de tumbo";
"Meat taken from the body of a Tumbo. Cook to avoid food poisoning.","Viande prise du corps d'un tumbo. Cuire pour éviter l'intoxication alimentaire.";
"Skeliopod Stew","Ragoût de skeliopod";
"A-2 Heavy Assault Rounds","A-2 Heavy Assault Rounds";
"Advanced ammo magazine for the Heavy Assault Rifle. It is automatically used when reloading, if stored in backpack.","Magazine AMMO avancé pour le fusil d'assaut lourd. Il est automatiquement utilisé lors du rechargement, s'il est stocké dans Sac à dos.";
"Stone Axe","Hache de pierre";
"A slashing tool that is essentially a rock on a stick with a nice handle.","Un outil sphulant essentiellement un rocher sur un bâton avec une belle poignée.";
"Makeshift Cloth Bundle","Paquet de tissu de fortune";
"A makeshift bundle of loosely woven fibers.","Un paquet de fortune de fibres tissées lâchées.";
"Stone Blade","Lame de pierre";
"A sharpened rock that can be used to make a blade.","Une roche aiguisée qui peut être utilisée pour faire une lame.";
"Stone Axe Head","Tête de hache de pierre";
"A sharpened rock that can be used to make an axe","Une roche aiguisée qui peut être utilisée pour faire une hache";
"Beetle Ball","Balle";
"Sack taken from a Skeliopod.","Sac pris d'un skeliopode.";
"Gnat Leg","Jambe de gnat";
"Leg ripped right off the body of a Gnat. The meat can be cooked or the bone from the leg can be used to make a weapon.","Jambe déchirée directement sur le corps d'un moucheron. La viande peut être cuite ou l'os de la jambe peut être utilisé pour faire une arme.";
"Bark","Aboyer";
"Tree bark is used as an ingrediant to make different items in chemistry.","L'écorce d'arbre est utilisée comme ingrédiant pour faire différents articles en chimie.";
"Water","L'eau";
"Liquid used for crafting more advanced items. Can also be drank to quench thirst.","Liquide utilisé pour créer des articles plus avancés. Peut aussi être bu pour tremper la soif.";
"Coral Branches","Branches de corail";
"Branches taken from a fan coral used as an ingredient to make different items in chemistry.","Les branches prélevées dans un corail de ventilateur utilisée comme ingrédient pour faire différents articles en chimie.";
"Botany Kit","Kit botanique";
"Tool used for extracting fluids from plants and creatures.","Outil utilisé pour extraire des fluides des plantes et des créatures.";
"Copper","Cuivre";
"A soft, ductile metal with high electrical and thermal conductivity, commonly used in electrical wiring.","Un métal doux et ductile à haute conductivité électrique et thermique, couramment utilisé dans le câblage électrique.";
"P C X","P c x";
"Liquid used for crafting more advanced items.","Liquide utilisé pour créer des articles plus avancés.";
"Urchin Shell","Shell d'Urchin";
"Part of an urchin found on land. It's dangerous to eat raw, but can be used for crafting and cooking.","Une partie d'une ourochine trouvée sur terre. Il est dangereux de manger cru, mais peut être utilisé pour l'artisanat et la cuisson.";
"Hydrogen Torch","Torche d'hydrogène";
"Fern Tree Berry","Berry de fougère";
"Charred Alien Bits","Bits d'extraterrestres carbonisés";
"Bits of Alien Meat quickly cooked in extremely high temperature, not too tasty, but its technically safe to eat.","Des morceaux de viande extraterrestre sont rapidement cuits à une température extrêmement élevée, pas trop savoureux, mais c'est techniquement sûr de manger.";
"Alien Hide","Alien cacher";
"Hide skinned from the body of an indigenous alien creature.","Cachez la peau du corps d'une créature extraterrestre indigène.";
"Crab Egg","Œuf au crabe";
"Egg taken from the body of a Crab monster. Cook to avoid food poisoning.","Oeuf tiré du corps d'un monstre de crabe. Cuire pour éviter l'intoxication alimentaire.";
"Scrap Dish","Plat de ferraille";
"Dish parts that have been left over.","Pièces de vaisselle qui ont été laissées.";
"Molybdenum","Molybdène";
"A metal that is commonly used for the strengthening of steel.","Un métal qui est couramment utilisé pour le renforcement de l'acier.";
"Iron","Le fer";
"A moderately soft metal commonly used as a structural material when alloyed with other elements, mostly in the form of Steel.","Un métal modérément souple couramment utilisé comme matériau structurel lorsqu'il est allié avec d'autres éléments, principalement sous forme d'acier.";
"Arachnoid Meat","Viande arachnoïde";
"Meat ripped right off the body of a Arachnoid. Cook to avoid food poisoning.","La viande déchirée directement du corps d'un arachnoïde. Cuire pour éviter l'intoxication alimentaire.";
"Stone Shovel Head","Tête de pelleteuse";
"A shaped rock that can be used to make a shovel.","Une roche façonnée qui peut être utilisée pour faire une pelle.";
"Sponge Tubes","Tubes d'éponge";
"Tubes taken from a sponge tube trees used as an ingredient to make different items in chemistry.","Tubes prélevés à partir d'un tube d'éponge d'arbres utilisés comme ingrédient pour faire différents articles en chimie.";
"Tumbo Soup","Soupe au tumbo";
"Orcek Leg","Jambe orcek";
"Leg ripped right off the body of a Orcek. Cook to avoid food poisoning.","Jambe déchirée directement sur le corps d'une orcek. Cuire pour éviter l'intoxication alimentaire.";
"Grilled Alien Meat","Viande extraterrestre grillée";
"Meat ripped right off the body of an indigenous alien creature. Has been cooked and is safe to eat.","La viande s'est déchirée directement sur le corps d'une créature extraterrestre autochtone. A été cuit et est sûr de manger.";
"Storage Unit Mk. II","Unité de stockage MK. Ii";
"Data Disk SN:144.22","Disque de données SN: 144.22";
"Redfern Tree Berry","Redfern Tree Berry";
"Nutritious fruit to replenish hunger and will slightly improve your health. Can be eaten while equipped or straight from storage. Also used as an ingredient in the crafting of some items.","Fruits nutritifs pour reconstituer la faim et améliorera légèrement votre santé. Peut être mangé tout équipé ou droit du stockage. Également utilisé comme ingrédient dans l'artisanat de certains articles.";
"Moonshroom","Salle de moons";
"Indigenous fungus found on the surface of Lutari. It's edible, but isn't very nutritious.","Champignon indigène trouvé à la surface de Lutari. C'est comestible, mais n'est pas très nutritif.";
"Brass","Laiton";
"Soft alloy that excels in low friction applications.","Alliage souple qui excelle dans des applications à faible frottement.";
"Cryo Rifle Ammo","Cryo Rifle Munmo";
"Advanced water filled ammo clip for a Cryo Rifle. This water filled container can only be fabricated in and advanced fabricator.","Clip de munitions rempli d'eau avancée pour un fusil cryo. Ce récipient rempli d'eau ne peut être fabriqué que dans le fabricant et avancé.";
"Tumbo Leg","Jambe tumbo";
"Leg taken from the body of a Tumbo. Cook to avoid food poisoning.","Jambe prise du corps d'un tumbo. Cuire pour éviter l'intoxication alimentaire.";
"Berry Juice","Jus de baies";
"A syrupy, tart juice created from cooked berries.","Un sirupeux, le jus de tarte créé à partir de baies cuites.";
"Magnesium","Magnésium";
"A metal susceptible to corrosion commonly used in creating lightweight materials and alloys.","Un métal sensible à la corrosion couramment utilisé pour créer des matériaux et des alliages légers.";
"Cooked Orcek Egg","Oeuf orcék cuit";
"Delicious cooked Orcek Egg. Eat while equipped or straight from inventory.","Oeuf orcek cuit délicieux. Manger tout équipé ou droit de l'inventaire.";
"Hydrocarbon Solution","Solution d'hydrocarbures";
"A solution rich in hydrocarbons, very flamable and combustible, can be refined into a better fuel.","Une solution riche en hydrocarbures, très floue et combustible, peut être affinée dans un meilleur carburant.";
"Methane Gas","Méthane";
"A flammable gas that is both colorless and odorless. It is the main constituent of natural gas, as well as the simplest member of the alkane series of hydrocarbons.","Un gaz inflammable à la fois incolore et sans odeur. C'est le principal constituant du gaz naturel, ainsi que le membre le plus simple de la série d'hydrocarbures d'Alkane.";
"Data Disk SN:851.47","Disque de données SN: 851.47";
" (0 chances)"," (0 chances)";
"Radar Scanner","Scanner radar";
"Advanced handheld Radar Scanner used for navigating terrain and scanning for resources based on their elemental density. Equip item to activate scanner.","Scanner de radar de poche avancé utilisée pour naviguer sur le terrain et la numérisation des ressources en fonction de leur densité élémentaire. Équiper l'élément pour activer le scanner.";
"Gnat Stew","Ragoût de gnat";
"Snake Spikes","Snake Spikes";
"Spikes taken from the back of a snake.","Pointes prises de l'arrière d'un serpent.";
"Cobalt Pistol","Pistolet de cobalt";
"Laser Cell","Cellule laser";
"15% critical hit","15% de succès critique";
"Broken Circuit Board","Carte de circuit imprimé";
"A Circuit Board that has been broken and is missing some circuitry, could be repaired to be functional again.","Une carte de circuit imprimé qui a été brisé et manque certains circuit, pourrait être réparé pour être à nouveau fonctionnelle.";
"Dragon Tooth","Dent de dragon";
"Powerful piercing melee weapon with a sharp obsidian blade.","Arme de mêlée perçante puissante avec une lame obsolée tranchante.";
"Arachnoid Teeth","Dents arachnoïdes";
"Hover Booster","Booster";
"Stim Unit","Unité de stimulation";
"Nichrome","Nichrome";
"An alloy with high electrical resistance commonly used in heating elements.","Un alliage avec une résistance électrique élevée couramment utilisée dans les éléments chauffants.";
"Crude Metal Sword","Épée de métal brut";
"60% critical hit","60% de succès critique";
"A crude sharp weapon made from a piece of sharpened metal. ","Une arme aiguë brute faite d'un morceau de métal aiguisé.";
"Solar Unit Mk. III","Unité solaire mk. III";
"Lithium","Lithium";
"The lightest and least dense metal, while commonly used in the creation of batteries, can also be used in air purification applications.","Le métal le plus léger et le moins dense, tout en couramment utilisé dans la création de batteries, peut également être utilisé dans des applications de purification d'air.";
"Masking Tape","Bande de masquage";
"Suit Integrity Bonus: ","Bonus d'intégrité de costume:";
"IMPORTANT! Use masking tape to repair suit punctures. Can be used while equipped or straight from inventory.","IMPORTANT! Utilisez du ruban adhésif pour réparer les perforations. Peut être utilisé tout en étant équipé ou droit de l'inventaire.";
"Cinna Fern","Cinna Fern";
"Leather Straps","Lanières de cuir";
"Sections of leather used in crafting.","Sections de cuir utilisé dans l'artisanat.";
"Recovery Unit Mk. II","Unité de récupération MK. Ii";
"Fuel Compressor Mk. III","Compresseur de carburant MK. III";
"Wrath","Colère";
"Advanced compound created to increase your carrying capacity and stamina.","Composé avancé créé pour augmenter votre capacité de charge et votre endurance.";
"Gunmetal","Gunmétal";
"Corrosion resistant alloy commonly used in weapons.","Alliage résistant à la corrosion couramment utilisé dans les armes.";
"Flourescence","Flouescence";
"Liquid that has lumenescent properties.","Liquide qui a des propriétés luminescentes.";
"Magnesium Ingot","Lingot de magnésium";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 650 °C
","Les lingots sont des briques de matériaux de construction purifiés. Vous les utiliserez pour créer de nombreuses choses différentes.

- Point de fusion: 650 ° C
";
"Silver","Argent";
"A precious metal with very high electrical and thermal conductivity.","Un métal précieux avec une très haute conductivité électrique et thermique.";
"Metal material found off of broken human made structures and vehicles. Can be recycled into other materials or used to create makeshift structures and other items.","Matériau métallique découvert de structures et de véhicules faits humains cassés. Peut être recyclé dans d'autres matériaux ou utilisé pour créer des structures de fortune et d'autres éléments.";
"Cooling Unit Mk. III","Unité de refroidissement MK. III";
"Blue Blades","Lames bleus";
"Blades taken from a Blueblade plant used as an ingredient to craft different items. Can also be eaten.","Les pales prélevées dans une plante blueblade utilisée comme ingrédient pour créer des objets différents. Peut aussi être mangé.";
"Lava Leaves","Lava part";
"Lava leaves are used as an ingredient to craft different items. Can be eaten for a small increase in health and nutrition.","Les feuilles de lave sont utilisées comme ingrédient pour créer des objets différents. Peut être mangé pour une faible augmentation de la santé et de la nutrition.";
"Data Disk SN:251.35","Disque de données SN: 251.35";
"Makeshift Screwdriver","Tournevis de fortune";
"A makeshift multi-tool fashioned from scrap metal to allow for repairing, salvaging, and precise tinkering.","Un multi-outil de fortune façonné de la ferraille pour permettre la réparation, la récupération et le bricolage précis.";
"Spicy Sausage Gumbo","Saucisse épicée gombo";
"An extravagant, delicious stew with multiple types of meats and vegetables. Eat while equipped or straight from inventory.","Un ragoût extravagant et délicieux avec plusieurs types de viandes et de légumes. Manger tout équipé ou droit de l'inventaire.";
"C19 Heavy Assault Rifle","C19 fusil d'assaut lourd";
"Human Waste","Déchets humains";
"Fertilizer to be mixed with Sand to create Soil for growing crops.","Engrais à mélanger avec du sable pour créer un sol pour cultiver des cultures.";
"O2 Pump","Pompe O2";
"Cooked Crab Egg","Œuf de crabe cuit";
"Delicious cooked Crab Monster Egg. Eat while equipped or straight from inventory.","Oeuf de monstre de crabe cuisiné délicieux. Manger tout équipé ou droit de l'inventaire.";
"Azure Rifle Magazine","Magazine Azure Rifle";
"Ammo magazine for the Assault Rifle. It is automatically used when reloading, if stored in backpack.","Magazine Ammo pour le fusil d'assaut. Il est automatiquement utilisé lors du rechargement, s'il est stocké dans Sac à dos.";
"Magnalium","Magnalium";
"An alloy with high strength, workability and low density commonly used in various vehicles types.","Un alliage avec une résistance élevée, une maniabilité et une faible densité couramment utilisée dans divers types de véhicules.";
"Frenzy","Frénésie";
"Advanced compound created to increase your health and stamina.","Composé avancé créé pour augmenter votre santé et votre endurance.";
"Aluminum","Aluminium";
"A low-density metal that is highly conductive and resist to corrosion.","Un métal bas densité qui est hautement conducteur et résiste à la corrosion.";
"Dymalloy","DYMALLOY";
"Conductive alloy used for high-powered electronics.","Alliage conducteur utilisé pour l'électronique à haute puissance.";
"Carrot","Carotte";
"Nutritious vegetable to replenish hunger. Can be eaten while equipped or straight from storage.","Légume nutritif pour reconstituer la faim. Peut être mangé tout équipé ou droit du stockage.";
"Snow","Neige";
