"English","中文";
"A soft, ductile metal with high electrical and thermal conductivity, commonly used in electrical wiring.","一种柔软的韧性金属，具有高电和导热性，通常用于电线。";
"P C X","p c x.";
"Liquid used for crafting more advanced items.","用于制作更多先进物品的液体。";
"Urchin Shell","核心壳";
"Part of an urchin found on land. It's dangerous to eat raw, but can be used for crafting and cooking.","在土地上发现的核素的一部分。吃原来是危险的，但可用于制作和烹饪。";
"Hydrogen Torch","氢火炬";
"Fern Tree Berry","蕨树浆果";
"Charred Alien Bits","烧焦的外星人位";
"Bits of Alien Meat quickly cooked in extremely high temperature, not too tasty, but its technically safe to eat.","异种肉类肉类迅速煮熟，极高的温度，不太美味，但它在技术上安全吃。";
"Alien Hide","外星人隐藏";
"Hide skinned from the body of an indigenous alien creature.","隐藏从土着外星人的身体皮肤。";
"Crab Egg","蟹卵";
"Egg taken from the body of a Crab monster. Cook to avoid food poisoning.","从螃蟹怪物的身体取出的鸡蛋。煮避免食物中毒。";
"Scrap Dish","废盘";
"Dish parts that have been left over.","已留下的盘部分。";
"Molybdenum","钼";
"A metal that is commonly used for the strengthening of steel.","通常用于强化钢的金属。";
"Iron","铁";
"A moderately soft metal commonly used as a structural material when alloyed with other elements, mostly in the form of Steel.","当与其他元素合金化时，通常用作结构材料的适度柔软的金属，主要以钢的形式。";
"Arachnoid Meat","蛛网膜肉";
"Meat ripped right off the body of a Arachnoid. Cook to avoid food poisoning.","肉撕掉了蛛网膜的身体。煮避免食物中毒。";
"Stone Shovel Head","石铲头";
"A shaped rock that can be used to make a shovel.","一种形状的岩石，可用于制作铲子。";
"Sponge Tubes","海绵管";
"Tubes taken from a sponge tube trees used as an ingredient to make different items in chemistry.","从海绵管树采取的管用作成分，以在化学中制作不同的物品。";
"Tumbo Soup","tumbo汤";
"Orcek Leg","orcek腿";
"Leg ripped right off the body of a Orcek. Cook to avoid food poisoning.","腿撕开了orcek的身体。煮避免食物中毒。";
"Grilled Alien Meat","烤外星肉";
"Meat ripped right off the body of an indigenous alien creature. Has been cooked and is safe to eat.","肉撕掉了土着外星人生物的身体。已经煮熟，吃了安全。";
"Storage Unit Mk. II","存储单元MK。 II";
"Data Disk SN:144.22","数据磁盘SN：144.22";
"Redfern Tree Berry","Rederfern树浆果";
"Nutritious fruit to replenish hunger and will slightly improve your health. Can be eaten while equipped or straight from storage. Also used as an ingredient in the crafting of some items.","营养果实补充饥饿，将略微改善您的健康。可以在装备或直接储存时食用。也用作一些物品制作的成分。";
"Moonshroom","Moonshroom.";
"Indigenous fungus found on the surface of Lutari. It's edible, but isn't very nutritious.","在Lutari表面发现的土着真菌。这是可食用的，但不是很营养。";
"Brass","黄铜";
"Soft alloy that excels in low friction applications.","软合金在低摩擦应用中擅长。";
"Cryo Rifle Ammo","Cryo步枪弹药";
"Advanced water filled ammo clip for a Cryo Rifle. This water filled container can only be fabricated in and advanced fabricator.","高级水填装的弹药夹为Cryo步枪。该填充容器只能制造在先进的制造商中。";
"Tumbo Leg","Tumbo腿";
"Leg taken from the body of a Tumbo. Cook to avoid food poisoning.","腿从一个tumbo的身体采取。煮避免食物中毒。";
"Berry Juice","浆果汁";
"A syrupy, tart juice created from cooked berries.","一只糖浆，从煮熟的浆果创造的酸奶汁。";
"Magnesium","镁";
"A metal susceptible to corrosion commonly used in creating lightweight materials and alloys.","易受腐蚀的金属，通常用于制造轻质材料和合金。";
"Cooked Orcek Egg","煮熟的orcek鸡蛋";
"Delicious cooked Orcek Egg. Eat while equipped or straight from inventory.","可口煮熟的orcek鸡蛋。在装备或直接从库存时吃。";
"Hydrocarbon Solution","烃溶液";
"A solution rich in hydrocarbons, very flamable and combustible, can be refined into a better fuel.","富含碳氢化合物，非常可燃和可燃的溶液可以精制成更好的燃料。";
"Methane Gas","甲烷气体";
"A flammable gas that is both colorless and odorless. It is the main constituent of natural gas, as well as the simplest member of the alkane series of hydrocarbons.","一种无色和无味的易燃气体。它是天然气的主要组成部分，以及烷烃系列的最简单成员。";
"Data Disk SN:851.47","数据磁盘SN：851.47";
" (0 chances)"," （0机会）";
"Radar Scanner","雷达扫描仪";
"Advanced handheld Radar Scanner used for navigating terrain and scanning for resources based on their elemental density. Equip item to activate scanner.","高级手持雷达扫描仪用于导航地形并根据其元素密度扫描资源。装备项目以激活扫描仪。";
"Gnat Stew","GNAT炖";
"Snake Spikes","蛇尖峰";
"Spikes taken from the back of a snake.","从蛇的后面取出的尖峰。";
"Cobalt Pistol","钴手枪";
"Laser Cell","激光牢房";
"15% critical hit","15％的批评击中";
"Broken Circuit Board","破碎的电路板";
"A Circuit Board that has been broken and is missing some circuitry, could be repaired to be functional again.","一个已破坏并缺少一些电路的电路板可以修复再次运行。";
"Dragon Tooth","龙牙";
"Powerful piercing melee weapon with a sharp obsidian blade.","强大的刺穿近战武器与锋利的黑曜石刀片。";
"Arachnoid Teeth","蛛网膜牙齿";
"Hover Booster","悬停助推器";
"Stim Unit","刺激单位";
"Nichrome","尼姆罗姆";
"An alloy with high electrical resistance commonly used in heating elements.","一种具有高电阻的合金，通常用于加热元件。";
"Crude Metal Sword","粗金属剑";
"60% critical hit","60％的临界击中";
"A crude sharp weapon made from a piece of sharpened metal. ","由一块锋利的金属制成的粗锋利的武器。";
"Solar Unit Mk. III","太阳能单位MK。 III";
"Lithium","锂";
"The lightest and least dense metal, while commonly used in the creation of batteries, can also be used in air purification applications.","最轻和最密集的金属，同时常用于电池的创建，也可用于空气净化应用。";
"Masking Tape","掩盖胶带";
"Suit Integrity Bonus: ","西装诚信奖励：";
"IMPORTANT! Use masking tape to repair suit punctures. Can be used while equipped or straight from inventory.","重要的！使用遮蔽胶带修理套装穿孔。可以在装备或直接从库存中使用。";
"Cinna Fern","Cinna Fern.";
"Leather Straps","皮带";
"Sections of leather used in crafting.","用于制作的皮革部分。";
"Recovery Unit Mk. II","恢复单位MK。 II";
"Fuel Compressor Mk. III","燃料压缩机MK。 III";
"Wrath","愤怒";
"Advanced compound created to increase your carrying capacity and stamina.","创建的高级化合物，以增加您的承载能力和耐力。";
"Gunmetal","青铜";
"Corrosion resistant alloy commonly used in weapons.","常用于武器的耐腐蚀合金。";
"Flourescence","荧光";
"Liquid that has lumenescent properties.","具有荧光特性的液体。";
"Magnesium Ingot","镁锭";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 650 °C
","锭是纯化的建材砖。您将使用这些来构建许多不同的东西。

 - 熔点：650°C
";
"Silver","银";
"A precious metal with very high electrical and thermal conductivity.","具有非常高的电和导热性的贵金属。";
"Metal material found off of broken human made structures and vehicles. Can be recycled into other materials or used to create makeshift structures and other items.","损坏的金属材料破碎的人造结构和车辆。可以再循环到其他材料中或用于制造临时结构和其他物品。";
"Cooling Unit Mk. III","冷却装置MK。 III";
"Blue Blades","蓝色刀片";
"Blades taken from a Blueblade plant used as an ingredient to craft different items. Can also be eaten.","从蓝色的植物拍摄的刀片用作制作不同物品的成分。也可以吃。";
"Lava Leaves","熔岩叶";
"Lava leaves are used as an ingredient to craft different items. Can be eaten for a small increase in health and nutrition.","熔岩叶用作制作不同物品的成分。可以吃掉健康和营养的小幅增加。";
"Data Disk SN:251.35","数据磁盘SN：251.35";
"Makeshift Screwdriver","临时螺丝刀";
"A makeshift multi-tool fashioned from scrap metal to allow for repairing, salvaging, and precise tinkering.","从废金属制造的临时多工具，以便修复，挽救和精确修复。";
"Spicy Sausage Gumbo","辣香肠糖果";
"An extravagant, delicious stew with multiple types of meats and vegetables. Eat while equipped or straight from inventory.","一种奢华，美味的炖炖多种肉类和蔬菜。在装备或直接从库存时吃。";
"C19 Heavy Assault Rifle","C19重型突击步枪";
"Human Waste","人为垃圾";
"Fertilizer to be mixed with Sand to create Soil for growing crops.","肥料与沙子混合，为生长作物创造土壤。";
"O2 Pump","O2泵";
"Cooked Crab Egg","煮熟的蟹鸡蛋";
"Delicious cooked Crab Monster Egg. Eat while equipped or straight from inventory.","可口煮熟的螃蟹妖怪鸡蛋。在装备或直接从库存时吃。";
"Azure Rifle Magazine","Azure步枪杂志";
"Ammo magazine for the Assault Rifle. It is automatically used when reloading, if stored in backpack.","弹药杂志为突击步枪。如果存储在背包中，则会自动使用。";
"Magnalium","magn";
"An alloy with high strength, workability and low density commonly used in various vehicles types.","具有高强度，可加工性和低密度的合金，通常用于各种车辆类型。";
"Frenzy","疯狂";
"Advanced compound created to increase your health and stamina.","创建的高级化合物，以增加您的健康和耐力。";
"Aluminum","铝";
"A low-density metal that is highly conductive and resist to corrosion.","低密度金属，具有高导电和抗蚀剂的腐蚀。";
"Dymalloy","Dymalloy.";
"Conductive alloy used for high-powered electronics.","用于高通用电子器件的导电合金。";
"Carrot","萝卜";
"Nutritious vegetable to replenish hunger. Can be eaten while equipped or straight from storage.","营养蔬菜补充饥饿。可以在装备或直接储存时食用。";
"Snow","雪";
"Pile of frozen water flakes.","堆冷冻水剥落。";
"Dirty Water","脏水";
"Liquid water to be drank for quenching thirst. This will be bad for your nutrition but the water can be purified using some simple chemistry.","液体水被喝淬火渴望。这对你的营养对但可以使用一些简单的化学来纯化水。";
"Cooling Unit Mk. II","冷却装置MK。 II";
"Diamond","钻石";
"A crystalline form of pure carbon with immensely high hardness and thermal conductivity, commonly used in industrial cutting and grinding applications.","一种纯碳的结晶形式，具有绝对高的硬度和导热性，通常用于工业切割和研磨应用。";
"Dyno","dyno.";
"A weak compound created to give a small boost to your speed.","创建弱化合物，以便给您的速度小幅提升。";
"Pistol","手枪";
"Lithium Ingot","锂锭";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 180.5 °C
","锭是纯化的建材砖。您将使用这些来构建许多不同的东西。

 - 熔点：180.5°C
";
"Pick Axe","选择斧头";
"Large slashing tool that is primarily for mining but can be used in self defense.","大型削减工具，主要用于采矿，但可用于自卫。";
"Assault Rifle Magazine","突击步枪杂志";
"Booster Unit Mk. I","助推器单元MK。一世";
"Anvil","砧";
"A strong compound created to give a boost to your health.","一个强大的化合物，以提高您的健康。";
"Meat Stew","肉炖";
"Simple Meat broth, an improvement over basic charred meat. Eat while equipped or straight from inventory.","简单的肉汤，对基本烧肉的改进。在装备或直接从库存时吃。";
"Light Unit Mk. II","轻型单位MK。 II";
"Charge Cell","充电牢房";
"Advanced portable power source made in a printer or fabricator. Used as a power source for the charge rifle.","先进的便携式电源在打印机或制造商中制作。用作充电步枪的电源。";
"Orcek Egg","orcek鸡蛋";
"Egg taken from an Orcek. Cook to avoid food poisoning.","从orcek采取的鸡蛋。煮避免食物中毒。";
"Broken Computer Screen","破碎的电脑屏幕";
"A computer with a screen that is defective.","带有屏幕有缺陷的计算机。";
"Dull Survival Knife","沉闷的生存刀";
"A Survival Knife is a slashing tool that is an essential part of all U.N.E. standard issue Emergency Kits. Not sharp enough to precisely skin creatures, but could be used to separate plant fibers or butcher meat in a pinch.","生存刀是一款削减工具，是所有U.N.E的重要组成部分。标准发行紧急套件。不够锐度足以精确肌肤生物，但可用于将植物纤维或屠宰肉分离捏。";
"Sulfur","硫";
"A nonmetallic element that is commonly used in chemical applications and as a component in fertilizers.","一种非金属元素，通常用于化学应用和肥料中的组分。";
"Oxygen Scrubber","氧气洗涤器";
"Snake Meat","蛇肉";
"Meat ripped right off the body of a snake. Cook to avoid food poisoning.","肉撕掉了蛇的身体。煮避免食物中毒。";
"Power Cell","电力电池";
"A basic lithium-ion power cell.","基本锂离子电池。";
"Hydrazine","肼";
"Highly explosive gas commonly used to fuel rockets.","常用于燃料火箭火箭的高爆炸性气体。";
"Crab Scythe","螃蟹镰刀";
"Melee weapon made from the talon of a crab monster.","由螃蟹怪物的爪子制成的近战武器。";
"Tin","锡";
"A soft metal commonly used in various alloys and as a coating to prevent corrosion.","常用于各种合金的软金属和作为防止腐蚀的涂层。";
"Horse Bract","马苞片";
"Horse bract are used as an ingredient to craft different items.","马苞片用作制作不同物品的成分。";
"Targe","拖门";
"A weak compound created to give you a small boost to your health.","创造了一种弱化合物，以便给你一个小额推动你的健康。";
"Makeshift Bandage","临时绷带";
"Orcek Stew","orcek炖";
"A delicious stew with added Orcek Meat and Carrots. Eat while equipped or straight from inventory.","一个美味的炖煮的炖肉肉和胡萝卜。在装备或直接从库存时吃。";
"Duralumin","硬盘";
"An alloy with a high strength to weight ratio commonly used on vehicles and aircraft.","具有高强度的合金，以常用于车辆和飞机的重量比。";
"Glass","玻璃";
"Crafting item for building structures, walls, and other items.
","建筑结构，墙壁和其他物品制作项目。
";
"Cooling Unit Mk. I","冷却装置MK。一世";
"Soil","土壤";
"Natural crafting agent for growing crops in a Bio Dome.","生物圆顶中种植庄稼的天然制作剂。";
"Psychroptera","Psychroptera.";
"Fleshy growth from a Psychroptera.","精神病术中的肉质生长。";
"Cooling Unit","冷却装置";
"Azure Rifle","Azure步枪";
"Fuel Cell","燃料电池";
"A long lasting power source.","一个持久的电源。";
"Solar Unit Mk. II","太阳能单位MK。 II";
"Lead Ingot","铅锭";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 327.5 °C
","锭是纯化的建材砖。您将使用这些来构建许多不同的东西。

 - 熔点：327.5°C
";
"Solar Panel Small Kit","太阳能电池板小套件";
"Kit used to build Small Solar Panel. To build, right-click on Inventory Item and select Build or select the  Small Solar Panel from the Structures tab in your Character Menu.","套件用于构建小型太阳能电池板。要构建，请右键单击库存项，然后从“字符”菜单中的“结构”选项卡中选择“构建”或选择“小型太阳能电池板”。";
"Fibon Tree Fruit","斐兰树果实";
"Alien Blood","外星血";
"Blood extracted from the body of an indigenous alien creature.","从土着外星人生物的身体中提取的血液。";
"Beacon Kit","灯塔套件";
"Kit used to build beacons. To build, right-click on Inventory Item and select Build or select the Beacon from the Utilities tab in your Character Menu.","套装用于建造信标。要构建，请右键单击库存项目，然后从“字符”菜单中的“实用程序”选项卡中选择“构建”或选择“标志”。";
"Storage Unit","存储单元";
"Nickel Ingot","镍锭";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1455 °C
","锭是纯化的建材砖。您将使用这些来构建许多不同的东西。

 - 熔点：1455°C
";
"Key Card Tier-1","钥匙卡Tier-1";
"A low-level clearance keycard used to open Osiris mission doors in abandoned settlements and mines.","用于在被遗弃的定居点和地雷开设Osiris Mission门的低级间隙钥匙卡。";
"Frost Lotus","霜莲花";
"A flower from the Frost Lotus plant.","从霜莲花植物的一朵花。";
"Crude Metal Axe Head","粗金属斧头";
"A piece of sharpened metal that can be used to make an axe.","一块可用于制造轴的锋利金属。";
"Survival Tool","生存工具";
"A multi-tool included in all U.N.E. standard issue Emergency Kits, useful for repairing, salvaging, and precise tinkering when in a pinch.","所有U.N.E中包含的多工具。标准发行应急包，用于修复，打捞，在夹持时进行精确修复。";
"Oxygen Tanks","氧气罐";
"Oxygen Bonus: ","氧气奖金：";
"Tanks filled with oxygen that can be plugged directly in to your suit. This will help you catch your breath by providing oxygen in the field.","坦克充满了氧气，可以直接插入您的西装。这将帮助您通过在现场提供氧气来呼吸。";
"Zamak","Zamak.";
"A general purpose alloy with a wide range of applications.","具有广泛应用的通用合金。";
"6al-4v","6AL-4V.";
"An alloy with high specific strength and excellent corrosion resistance.","一种具有高比强度和优异耐腐蚀性的合金。";
"Makeshift Patch Tape","临时补丁胶带";
"Ladder","梯子";
"Used to reach high places.","曾经达到高地。";
"Banana","香蕉";
"Nitrogen Compress Cell","氮气压缩细胞";
"ADD DETAILS
","添加详细信息
";
"Crude Metal Shovel","粗金属铲";
"Scarburros Palm","Scarburros Palm.";
"Data Disk SN:231.25","数据磁盘SN：231.25";
"Test Boots","测试靴子";
"Prevents Lava Damage","防止熔岩伤害";
"Gnat Underhook","GNAT Underhook.";
"Baked Potato","烤土豆";
"Scrap Cloth","废布";
"Soft fragments of cloth.","软碎片。";
"Data Disk SN:385.21","数据磁盘SN：385.21";
"Test Backpack","测试背包";
"Ferrochrome","铬铁";
"Acid-resistent alloy used in the production of stainless steel.","用于生产不锈钢的耐酸合金。";
"T21 Heavy Assault Rounds","T21重型突击轮";
"Patch Tape","补丁胶带";
"IMPORTANT! Use patch tape to repair suit punctures. Can be used while equipped or straight from inventory.","重要的！使用贴片胶带修理套装穿孔。可以在装备或直接从库存中使用。";
"Dirt","污垢";
"Useless","无用";
"Iron Ingot","铁锭";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1538 °C
","锭是纯化的建材砖。您将使用这些来构建许多不同的东西。

 - 熔点：1538°C
";
"Test Helmet","测试头盔";
"Snake Hide","蛇藏起来";
"Hide from a snake used to make items for crafting weapons and different items.","躲避用于制作用于制作武器和不同物品的物品的蛇。";
"Tumbo Shell","tumbo shell.";
"Shell taken from a Tumbo, often used to make defenses.","壳从一个tumbbo拍摄，经常用来进行防御。";
"Gnat Hide","GNAT隐藏";
"Ion Assault Rifle Magazine","离子突击步枪杂志";
"Spirit","精神";
"Advanced compound created to increase your health and speed.","先进的化合物创建，以增加您的健康和速度。";
"Spirea","螺旋";
"Spirea plant sample used as an ingredient to craft different items. Can be eaten for a small increase in health and nutrition.","螺旋植物样品用作制作不同物品的成分。可以吃掉健康和营养的小幅增加。";
"Organic Sludge","有机污泥";
"A thick sludge that appears to have high concentrations of graphene strands suspended in solution.","似乎具有高浓度的石墨烯链溶液的稠污泥。";
"Heat Sink Unit","散热器单位";
"Broken Wire","破碎的电线";
"Short segments of wire. With more pieces, could be combined into a usable segment of wire.","电线短片。有更多的碎片，可以组合成一个可用的电线段。";
"Machete","砍刀";
"A sharp weapon that is essentially a steel blade with a nice handle.","一种锋利的武器，基本上是一个带有漂亮手柄的钢刀片。";
"Copper Ingot","铜锭";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1085 °C
","锭是纯化的建材砖。您将使用这些来构建许多不同的东西。

 - 熔点：1085°C
";
"Alien Insect Parts","外星昆虫零件";
"Squished parts of an indigenous alien insect.","皮疹被土着外星昆虫的部分。";
"Crab Screwdriver","螃蟹螺丝刀";
"A makeshift multi-tool fashioned from tough pieces of chitinous antenna to allow for repairing, salvaging, and precise tinkering.","从棘突的天线的韧带碎片塑造了一个临时多功能，以便修复，挽救和精确修复。";
"Military Medkit","军用Medkit.";
"Rubber","橡胶";
"Computer Screen","电脑屏幕";
"A computer screen with an internal processor.","带内部处理器的计算机屏幕。";
"Fungtiple Bulb","Fungtiple灯泡";
"A Bulb off a Fungtiple plant.","一个灯泡的灯泡。";
"Glass Container","玻璃容器";
"Stores liquid so that it can be drank or used to craft more useful items.","储存液体，使其可以饮用或用于制作更多有用的物品。";
"Heavy Assault Magazine","沉重的突击杂志";
"Ammo magazine for the Heavy Assault Rifle. It is automatically used when reloading, if stored in backpack.","Ammo杂志为沉重的突击步枪。如果存储在背包中，则会自动使用。";
"Scrap Solar Panel","废料太阳能电池板";
"Scraps of solar panel parts that have been left over.","已经留下的太阳能电池板部件的废料。";
"Ammo charges for the Pistol. It is automatically used when reloading, if stored in your backpack.","手枪的弹药费。重新加载时自动使用，如果存储在背包中。";
"Mercury","汞";
"A heavy metal often used in its liquid form for scientific instruments such as thermometers.","通常用于其液体形式的重金属，用于温度计的科学仪器。";
"Tumbo Egg","Tumbo鸡蛋";
"Egg taken from the body of a Tumbo. Cook to avoid food poisoning.","鸡蛋从一个tumbo的身体取出。煮避免食物中毒。";
"Mercury Ingot","羊水锭";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: -38.83 °C
","锭是纯化的建材砖。您将使用这些来构建许多不同的东西。

 - 熔点：-38.83°C
";
"Crab Talon","螃蟹爪子";
"Talon taken from a crab monsters leg.","爪从螃蟹怪物腿上拿走。";
"Shears","剪";
"A precise surgical tool used for carefully gathering organic matter.","一种精确的外科手术工具，用于小心地收集有机物。";
"Path Light Kit","路径轻型套件";
"Solar light used for path marking","用于路径标记的太阳能光";
"Barrel","桶";
"Stores gas so that it can be used to craft more useful items.","存储气体使其可用于制作更多有用的物品。";
"Storage Unit Mk. III","存储单元MK。 III";
"Arachnoid Hide","Arachnoid隐藏";
"Hide taken from an Arachnoid, used for crafting purposes.","隐藏从蛛网膜拍摄，用于制作目的。";
"Arachnoid Tail","蛛网膜尾巴";
"Tail taken from a Arachnoid to be used for crafting purposes.","尾巴从蛛网膜拍摄用于制作目的。";
"Skeliopod Meat","Skeliopod肉类";
"Meat ripped right off the body of a Skeliopod. Cook to avoid food poisoning.","肉撕掉了一个Skeliopod的身体。煮避免食物中毒。";
"Data Disk SN:349.01","数据磁盘SN：349.01";
"Mission Cryptex","任务加密";
"Recovery Unit Mk. I","恢复单位MK。一世";
"Hydrogen Canister","氢罐";
"1% critical hit","1％的批判击中";
"Container holding a pressurized hydrogen mixture. Made in either a printer or a fabricator. Used as a fuel source for the hydrogen torch.","容纳加压氢气混合物的容器。在打印机或制造商中制作。用作氢火炬的燃料源。";
"Darts","飞镖";
"Projectiles used by Dart Gun.","镖枪使用的弹丸。";
"Hover Recharger","悬停充值";
"Cobalt Ingot","钴ingot.";
"Gnat Tongue","GNAT舌头";
"Tongue ripped right from the mouth of a Gnat. Cook to avoid food poisoning.","舌头从GNAT的口头撕裂。煮避免食物中毒。";
"Gold Cover","金封面";
"Nitro","硝基";
"Advanced compound created to give you more speed and stamina.","创建的高级化合物，为您提供更多的速度和耐力。";
"Chlorine","氯";
"A pale green gas, important for water purification.","淡绿色的气体，对水净化很重要。";
"Adhesive","粘合剂";
"Adhesive is used in the fabrication of Patch Tape.","粘合剂用于制造贴片带。";
"English","英语";
"Avatar Inventory","头像库存";
"Back","后退";
"Avatars","头像";
"Create New Avatar","创建新的头像";
"Universe:","宇宙：";
"Single Player","单人玩家";
"Owner:","所有者：";
"Current Base","当前基地";
"Planet:","行星：";
"Launch","发射";
"Loading Avatar","装载头像";
"Loading Persistent Nature","加载持久性质";
"EARLY ACCESS","早期访问";
"HINT: Unequip gun to run faster","提示：未更顺上枪跑得更快";
"Depository","存款";
"Habitat","栖息地";
"A Habitat is a multi-purpose room that can house many interior items.","栖息地是一个多功能的房间，可以容纳许多室内物品。";
"Add to Backpack","加入背包";
"Equip","装备";
"Store in Inventory","存放库存";
"Drink","喝";
"Empty out","清空";
"Drop","降低";
"New Ability","新能力";
"Status","地位";
"This new ability unlocks your wildest dreams!","这种新能力解锁了你最疯狂的梦想！";
"Customize Colors","自定义颜色";
"Primary
","基本的
";
"Secondary","中学";
"Detail","细节";
"Glow","辉光";
"Hazy","朦胧";
"Missions","任务";
"CRITICAL BREACH","关键违规行为";
"Oxygen Low","氧气低";
"Local Time","当地时间";
"You Are Dehydrated
You are Starving","你是脱水的
你在挨饿";
"Suit Pressue Low","适用于压力";
"You Are FREEZING","你正在冻结";
"Agility","敏捷";
"4m 5s","4M 5s.";
"Fortitude","坚韧";
"Strength","力量";
"Stamina","耐力";
"HOV","h";
"-62°","-62°";
"HYD
---","水平
---";
"

NTR","

NTR.";
"HLTH","Hlth.";
"Restoring Oxygen in 10s","10S恢复氧气";
"0.99","99％";
"Atmos o2: 1.29%","atmos o2：1.29％";
"Weight:","重量：";
"Patch Tape","补丁胶带";
"Medical Bandage","医用绷带";
"Scrap Metal","废金属";
"Fern Tree Berry","蕨树浆果";
"Alien Fiber","外星纤维";
"Rock","岩石";
"Shard Blade","碎片";
"Alien Hide","外星人隐藏";
"Makeshift Chisel","临时凿子";
"Barrel","桶";
"Now that I've gotten a foothold on this planet, I should explore and see if I can regroup with the Phoenix Team. ([F3] will open up the GPS, your suit has a radar installed that will allow for Basic Scanning. [NUM +] and [NUM -] to change the zoom of the map.)","现在我已经在这个星球上立足了，我应该探索，看看我是否可以与菲尼克斯团队一起重新组合。 （[F3]将打开GPS，您的西装安装了一个雷达，允许基本扫描。[Num +]和[Num  - ]更改地图的缩放。）";
"Slope: 35.6°","坡度：35.6°";
"Laboratory","实验室";
"New1","纽约";
"Level 08 - SCIENTIST","等级08  - 科学家";
"Sol 01","Sol 01.";
"13 hrs to next sol","13小时到下一个溶胶";
"Level 01","等级01.";
"XP: 25/100","XP：25/100";
"Physical Stats","物理统计数据";
"Speed","速度";
"Health","健康";
"Stat Points:","统计点：";
"Proficiencies","诡计不断";
"Combat","战斗";
"Engineering","工程";
"Science","科学";
"HLTH
---","Hlth.
---";
"Suit","套装";
"NTR","NTR.";
"Creation Center","创造中心";
"Skeliopod Meat","Skeliopod肉类";
"Steel","钢";
"Rubber","橡胶";
"Grilled Alien Meat","烤外星肉";
"<color=silver>Class: </color><color=white>Consumable</color>
<color=silver>Amount: </color><color=white>1/50</color>
<color=silver>Weight: </color><color=white>0.50</color><color=lime> kgs</color>
<color=silver>Health Bonus: </color><color=white>10</color>
<color=silver>Nutrition Bonus: </color><color=white>50</color>

<color=white>Meat ripped right off the body of an indigenous alien creature. Has been cooked and is safe to eat.</color>","<color = silver>类：</ color> <color = white> cospable </ color>
<color =银>金额：</ color> <color = white> 1/50 </ color>
<color =银>重量：</ color> <color =白色> 0.50 </ color> <color =石灰> kgs </ color>
<Color = Silver> Health Bonus：</ Color> <Color = White> 10 </ Color>
<Color = Silver>营养奖金：</ color> <color = white> 50 </ color>

<color = white>肉撕开了土着外星人生物的身体。已经煮熟，吃饱了。</ color>";
"Backpack","背包";
"Default","默认";
"Alphabetical","按字母顺序排列";
"43.61 / 80.00 kgs
54.5% Weight Capacity","43.61 / 80.00公斤
54.5％的重量容量";
"Inventory
","存货
";
"[A] Skills","[A]技能";
"Crafting [D]","制作[D]";
"Urchin Shell","核心壳";
"Duralumin","硬盘";
"Titanium","钛";
"Brass","黄铜";
"Tungsten","钨钨";
"Bronze","青铜";
"Wire","金属丝";
"Circuit Board","电路板";
"Power Cell","电力电池";
"Diamond Chisel","钻石凿子";
"Magnalium","magn";
"Gunmetal","青铜";
"Lead","带领";
"Battery","电池";
"Assault Rifle","突击步枪";
"Talonite","talonite.";
"Mechanized Spanner","机械化扳手";
"Crab Antenna","螃蟹天线";
"Crab Shell","螃蟹壳";
"Crab Meat","蟹肉";
"Crab Talon","螃蟹爪子";
"Crab Leg Meat","蟹腿肉";
"Fuel Cell","燃料电池";
"Cast Iron","铸铁";
"Ferrochrome","铬铁";
"6al-4v","6AL-4V.";
"Nichrome","尼姆罗姆";
"Azurnium","亚苏";
"Glass","玻璃";
"Cobalt","钴";
"Inventory","存货";
"Field Guide","现场指南";
"Skills","技能";
"Options","选项";
"Build / Craft [F3]","构建/工艺[F3]";
"Data Selection
Matrix","数据选择
矩阵";
"Aziel","Aziel.";
"Env Pressure:","ENV压力：";
"Env Temp:","ENV TEMP：";
"Personal Data Unit","个人数据单位";
"Osiris Mission Team","奥西里斯任务团队";
"Systems Data Selection","系统数据选择";
"Build 248.517.68200","建立248.517.68200.";
"Exit Data Matrix [Tab]","退出数据矩阵[选项卡]";
"Log","日志";
"Lorem ipsum dolor sit amet, sed ea offendit aliquando mediocritatem. Cum ad quis malorum recusabo, nam ea audiam fuisset incorrupte, et eirmod aperiam pro. Quod detracto eloquentiam an vel, cum mutat argumentum ex. Ex eam partem dolores pertinacia, et alterum maiorum praesent his. Copiosae laboramus assentior te per, te eam feugiat elaboraret. Ut cum quas minim, has quot prodesset assueverit ei, an his utamur tibique.","Lorem Ipsum Dolor Sit Amet，Sed EA冒犯了Aliquando MedioCriitatem。暨adquis malorum recusabo，Nam ea aumiam fuisset incorrupte，et evirmod aperiam pro。 quod detracto eloquentiam一个vel，cum mutat carrightum前。 ex eam partem dolores pertinacia，et antrum maiorum赞美他。 Copiosae Landamus Assentiorior Te，Te Eam Feugiat elaboraret。 UT暨Quas Minim，有型“奥马姆尔·泰格尼克的Prodesset Assueverit ei。";
"Craft","工艺";
"Utilities","公用事业";
"Defenses","辩护";
"Structures","结构";
"Appliances","电器";
"Custom","风俗";
"Crafting","制作";
