"English","русский";
"Solar Unit Mk. III","Солнечный блок МК. III.";
"Lithium","Литий";
"The lightest and least dense metal, while commonly used in the creation of batteries, can also be used in air purification applications.","Самый легкий и наименее гудный металл, в то время как обычно используется в создании батарей, также может использоваться в приложениях очистки воздуха.";
"Masking Tape","Изоляционная лента";
"Suit Integrity Bonus: ","Костюм целостности бонус:";
"IMPORTANT! Use masking tape to repair suit punctures. Can be used while equipped or straight from inventory.","ВАЖНЫЙ! Используйте маскирующие ленту для ремонта проколов. Может использоваться при оборудовании или прямо из инвентаря.";
"Cinna Fern","Cinna Fern";
"Leather Straps","Кожаные ремни";
"Sections of leather used in crafting.","Секции кожи, используемые в создании.";
"Recovery Unit Mk. II","Установка восстановления МК. II";
"Fuel Compressor Mk. III","Топливный компрессор МК. III.";
"Wrath","Гнев";
"Advanced compound created to increase your carrying capacity and stamina.","Усовершенствованное соединение, созданное для увеличения вашу пропускную способность и выносливость.";
"Gunmetal","Огурцовый";
"Corrosion resistant alloy commonly used in weapons.","Коррозионный устойчивый сплав, обычно используемый в оружии.";
"Flourescence","Промещение";
"Liquid that has lumenescent properties.","Жидкость, которая имеет легкие свойства.";
"Magnesium Ingot","Магниевый слиток";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 650 °C
","Слитки являются кирпичами очищенных строительных материалов. Вы будете использовать их, чтобы построить много разных вещей.

- температура плавления: 650 ° C
";
"Silver","Серебро";
"A precious metal with very high electrical and thermal conductivity.","Драгоценный металл с очень высокой электрической и теплопроводностью.";
"Metal material found off of broken human made structures and vehicles. Can be recycled into other materials or used to create makeshift structures and other items.","Металлический материал обнаружил сломанные человеческие конструкции и транспортные средства. Могут быть переработаны в другие материалы или используются для создания импровизированных структур и других предметов.";
"Cooling Unit Mk. III","Охлаждающий блок МК. III.";
"Blue Blades","Синие лезвия";
"Blades taken from a Blueblade plant used as an ingredient to craft different items. Can also be eaten.","Лезвия, взятые с завода в голубых блоках, используемые в качестве ингредиента для создания различных предметов. Также может быть съеден.";
"Lava Leaves","Листья лавы";
"Lava leaves are used as an ingredient to craft different items. Can be eaten for a small increase in health and nutrition.","Листья лавы используются в качестве ингредиента для создания различных предметов. Можно съесть для небольшого увеличения здоровья и питания.";
"Data Disk SN:251.35","Диск данных SN: 251.35";
"Makeshift Screwdriver","Требование отвертки";
"A makeshift multi-tool fashioned from scrap metal to allow for repairing, salvaging, and precise tinkering.","Makehift Multi-Tool, изготовленный из металла лома, чтобы обеспечить ремонт, спасение и точную точку.";
"Spicy Sausage Gumbo","Пряная колбаса Гамбо";
"An extravagant, delicious stew with multiple types of meats and vegetables. Eat while equipped or straight from inventory.","Экстравагантная, вкусная рагу с несколькими видами мяса и овощей. Ешьте во время снаружи или прямо из инвентаря.";
"C19 Heavy Assault Rifle","C19 тяжелая штурмовая винтовка";
"Human Waste","Отходы человека";
"Fertilizer to be mixed with Sand to create Soil for growing crops.","Удобрение смешивается с песком для создания почвы для выращивания культур.";
"O2 Pump","O2 насос";
"Cooked Crab Egg","Приготовленное крабовое яйцо";
"Delicious cooked Crab Monster Egg. Eat while equipped or straight from inventory.","Вкусный приготовленный краб монстр яйцо. Ешьте во время снаружи или прямо из инвентаря.";
"Azure Rifle Magazine","Журнал Azure Rifle";
"Ammo magazine for the Assault Rifle. It is automatically used when reloading, if stored in backpack.","Ammo Magazine для штурмовой винтовки. Он автоматически используется при перезагрузке, если сохраняется в рюкзаке.";
"Magnalium","Магмалий";
"An alloy with high strength, workability and low density commonly used in various vehicles types.","Сплав с высокой прочностью, работоспособностью и низкой плотностью, обычно используемой в различных типах транспортных средств.";
"Frenzy","Безумие";
"Advanced compound created to increase your health and stamina.","Усовершенствованное соединение создано для повышения здоровья и выносливости.";
"Aluminum","Алюминий";
"A low-density metal that is highly conductive and resist to corrosion.","Металл низкой плотности, который очень проводящий и сопротивляется коррозии.";
"Dymalloy","Дымаллы";
"Conductive alloy used for high-powered electronics.","Проводящий сплав используется для электроники с высокой мощностью.";
"Carrot","Морковь";
"Nutritious vegetable to replenish hunger. Can be eaten while equipped or straight from storage.","Питательный овощ для пополнения голода. Можно съесть во время оборудования или прямо из хранения.";
"Snow","Снег";
"Pile of frozen water flakes.","Куча замороженных хлопьев воды.";
"Dirty Water","Грязная вода";
"Liquid water to be drank for quenching thirst. This will be bad for your nutrition but the water can be purified using some simple chemistry.","Жидкая вода должна пилить для гашения жажды. Это будет плохо для вашего питания, но вода может быть очищена с использованием некоторой простой химии.";
"Cooling Unit Mk. II","Охлаждающий блок МК. II";
"Diamond","Алмаз";
"A crystalline form of pure carbon with immensely high hardness and thermal conductivity, commonly used in industrial cutting and grinding applications.","Кристаллическая форма чистого углерода с чрезвычайно высокой твердостью и теплопроводностью, обычно используемой в промышленных приложениях для резки и измельчения.";
"Dyno","Динамика";
"A weak compound created to give a small boost to your speed.","Слабое соединение, созданное, чтобы дать небольшой повышение вашей скорости.";
"Pistol","Пистолет";
"Lithium Ingot","Литиевый слиток";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 180.5 °C
","Слитки являются кирпичами очищенных строительных материалов. Вы будете использовать их, чтобы построить много разных вещей.

- температура плавления: 180,5 ° C
";
"Pick Axe","Подбирать топор";
"Large slashing tool that is primarily for mining but can be used in self defense.","Большой резервный инструмент, который в основном для добычи, но может использоваться в самообороне.";
"Assault Rifle Magazine","Журнал штурмового винтовки";
"Booster Unit Mk. I","Booster Unit MK. я";
"Anvil","Наковальня";
"A strong compound created to give a boost to your health.","Сильное соединение, созданное для повышения вашего здоровья.";
"Meat Stew","Мясное рагу";
"Simple Meat broth, an improvement over basic charred meat. Eat while equipped or straight from inventory.","Простой мясной бульон, улучшение по сравнению с базовым забитым мясом. Ешьте во время снаружи или прямо из инвентаря.";
"Light Unit Mk. II","Легкий блок МК. II";
"Charge Cell","Степенная клетка";
"Advanced portable power source made in a printer or fabricator. Used as a power source for the charge rifle.","Расширенный портативный источник питания, сделанный в принтере или изготовителе. Используется в качестве источника питания для зарядной винтовки.";
"Orcek Egg","Orcek яйцо";
"Egg taken from an Orcek. Cook to avoid food poisoning.","Яйцо взято из орсека. Повар, чтобы избежать пищевого отравления.";
"Broken Computer Screen","Сломанный компьютер компьютер";
"A computer with a screen that is defective.","Компьютер с экраном, который неисправен.";
"Dull Survival Knife","Тусклый нож выживания";
"A Survival Knife is a slashing tool that is an essential part of all U.N.E. standard issue Emergency Kits. Not sharp enough to precisely skin creatures, but could be used to separate plant fibers or butcher meat in a pinch.","Нож выживания - это резервный инструмент, который является неотъемлемой частью всех U.n.e. Стандартный выпуск аварийных наборов. Не более острые, чтобы точно кожные существа, но можно было бы использовать для отделения растительных волокон или мясного мяса в щепоте.";
"Sulfur","Сера";
"A nonmetallic element that is commonly used in chemical applications and as a component in fertilizers.","Неметаллический элемент, который обычно используется в химических применениях и в качестве компонента в удобрениях.";
"Oxygen Scrubber","Кислородный скруббер";
"Snake Meat","Змея мясо";
"Meat ripped right off the body of a snake. Cook to avoid food poisoning.","Мясо разорвало прямо с тела змеи. Повар, чтобы избежать пищевого отравления.";
"Power Cell","Силовая клетка";
"A basic lithium-ion power cell.","Базовая литий-ионная электроэнергия.";
"Hydrazine","Гидразин";
"Highly explosive gas commonly used to fuel rockets.","Высоко взрывоопасный газ, обычно используемый для топливных ракетов.";
"Crab Scythe","Краб коса";
"Melee weapon made from the talon of a crab monster.","Оружие в ближнем бою из Talon of Crab Monster.";
"Tin","Банка";
"A soft metal commonly used in various alloys and as a coating to prevent corrosion.","Мягкий металл, обычно используемый в различных сплавах и как покрытие для предотвращения коррозии.";
"Horse Bract","Бракт лошади";
"Horse bract are used as an ingredient to craft different items.","Бракт для лошадей используются в качестве ингредиента для создания различных предметов.";
"Targe","Тал";
"A weak compound created to give you a small boost to your health.","Слабое соединение, созданное, чтобы дать вам небольшое повышение вашего здоровья.";
"Makeshift Bandage","Мергота повязки";
"Orcek Stew","Орчек тушеное";
"A delicious stew with added Orcek Meat and Carrots. Eat while equipped or straight from inventory.","Вкусное рагу с добавленным мясом orcek и морковью. Ешьте во время снаружи или прямо из инвентаря.";
"Duralumin","Дураль";
"An alloy with a high strength to weight ratio commonly used on vehicles and aircraft.","Сплав с высокой прочностью до весового соотношения обычно используется на транспортных средствах и самолетах.";
"Glass","Стекло";
"Crafting item for building structures, walls, and other items.
","Ремесло для строительных конструкций, стен и других предметов.
";
"Cooling Unit Mk. I","Охлаждающий блок МК. я";
"Soil","Почва";
"Natural crafting agent for growing crops in a Bio Dome.","Натуральный крафт для выращивания культур в биоте.";
"Psychroptera","Психография";
"Fleshy growth from a Psychroptera.","Мясистый рост от психики.";
"Cooling Unit","Охлаждающий блок";
"Azure Rifle","Лазурная винтовка";
"Fuel Cell","Топливная ячейка";
"A long lasting power source.","Долговечный источник питания.";
"Solar Unit Mk. II","Солнечный блок МК. II";
"Lead Ingot","Свинцовый слиток";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 327.5 °C
","Слитки являются кирпичами очищенных строительных материалов. Вы будете использовать их, чтобы построить много разных вещей.

- точка плавления: 327,5 ° C
";
"Solar Panel Small Kit","Солнечная панель маленький комплект";
"Kit used to build Small Solar Panel. To build, right-click on Inventory Item and select Build or select the  Small Solar Panel from the Structures tab in your Character Menu.","Комплект используется для создания мелкой солнечной панели. Чтобы построить, щелкните правой кнопкой мыши элемент инвентаря и выберите «Создать» или выберите небольшую панель солнечной панели на вкладке «Структуры» в своем меню «Строки».";
"Fibon Tree Fruit","Фруктовый фрукт";
"Alien Blood","Инопланетная кровь";
"Blood extracted from the body of an indigenous alien creature.","Кровь экстрагирована из организма коренного инопланетного существа.";
"Beacon Kit","Маяк";
"Kit used to build beacons. To build, right-click on Inventory Item and select Build or select the Beacon from the Utilities tab in your Character Menu.","Комплект используется для построения маяков. Чтобы построить, щелкните правой кнопкой мыши элемент инвентаря и выберите «Создать» или выберите «Маяк» с вкладки «Утилиты» в вашем меню «Вашему символу».";
"Storage Unit","Хранение";
"Nickel Ingot","Никелевый слиток";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1455 °C
","Слитки являются кирпичами очищенных строительных материалов. Вы будете использовать их, чтобы построить много разных вещей.

- температура плавления: 1455 ° C
";
"Key Card Tier-1","Ключевая карта Tier-1";
"A low-level clearance keycard used to open Osiris mission doors in abandoned settlements and mines.","Низкоуровневой клиренс клавиатуры, используемый для открытия Двери Миссии Осириса в заброшенных поселениях и минах.";
"Frost Lotus","Frost Lotus";
"A flower from the Frost Lotus plant.","Цветок от морозного лотоса.";
"Crude Metal Axe Head","Грузкой из металла оси";
"A piece of sharpened metal that can be used to make an axe.","Кусок заточенного металла, который можно использовать для создания топора.";
"Survival Tool","Инструмент выживания";
"A multi-tool included in all U.N.E. standard issue Emergency Kits, useful for repairing, salvaging, and precise tinkering when in a pinch.","Мульти-инструмент включен во все U.n.e. Стандартный выпуск аварийных наборов, полезных для ремонта, спасения и точного звона, когда в щепоте.";
"Oxygen Tanks","Кислородные баки";
"Oxygen Bonus: ","Бонус кислорода:";
"Tanks filled with oxygen that can be plugged directly in to your suit. This will help you catch your breath by providing oxygen in the field.","Танки заполнены кислородом, которые можно подключить непосредственно к вашему костюму. Это поможет вам ловить дыхание, предоставляя кислород в поле.";
"Zamak","Замак";
"A general purpose alloy with a wide range of applications.","Сплав общего назначения с широким спектром применений.";
"6al-4v","6al-4v.";
"An alloy with high specific strength and excellent corrosion resistance.","Сплав с высокой устойчивой прочностью и превосходной коррозионной стойкостью.";
"Makeshift Patch Tape","Takefift Patch лента";
"Ladder","Лестница";
"Used to reach high places.","Используется для достижения высоких мест.";
"Banana","Банан";
"Nitrogen Compress Cell","Азотный сжатый клетки";
"ADD DETAILS
","Добавить детали
";
"Crude Metal Shovel","Сырая металла лопата";
"Scarburros Palm","Скарберов пальмы";
"Data Disk SN:231.25","Data Disk SN: 231.25";
"Test Boots","Тестовые сапоги";
"Prevents Lava Damage","Предотвращает повреждение лавы";
"Gnat Underhook","Гнат неожиданно";
"Baked Potato","Печеный картофель";
"Scrap Cloth","Ломка ткани";
"Soft fragments of cloth.","Мягкие фрагменты ткани.";
"Data Disk SN:385.21","Диск данных SN: 385.21";
"Test Backpack","Тестовый рюкзак";
"Ferrochrome","Феррохром";
"Acid-resistent alloy used in the production of stainless steel.","Кислотостойкий сплав, используемый при производстве нержавеющей стали.";
"T21 Heavy Assault Rounds","T21 тяжелые штурмовые раунды";
"Patch Tape","Патч лента";
"IMPORTANT! Use patch tape to repair suit punctures. Can be used while equipped or straight from inventory.","ВАЖНЫЙ! Используйте патч-лента для ремонта проколов. Может использоваться при оборудовании или прямо из инвентаря.";
"Dirt","Грязь";
"Useless","Бесполезный";
"Iron Ingot","Железный слиток";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1538 °C
","Слитки являются кирпичами очищенных строительных материалов. Вы будете использовать их, чтобы построить много разных вещей.

- точка плавления: 1538 ° C
";
"Test Helmet","Тестовый шлем";
"Snake Hide","Сразу Скрыть";
"Hide from a snake used to make items for crafting weapons and different items.","Спрятаться от змеи, используемой для создания предметов для создания оружия и разных предметов.";
"Tumbo Shell","Tumbo Shell.";
"Shell taken from a Tumbo, often used to make defenses.","Оболочка взята из тумбо, часто используется для защиты.";
"Gnat Hide","Гнат Скрыть";
"Ion Assault Rifle Magazine","Ионный штурмовой винтовка журнала";
"Spirit","Дух";
"Advanced compound created to increase your health and speed.","Усовершенствованное соединение создано для повышения вашего здоровья и скорости.";
"Spirea","Спирея";
"Spirea plant sample used as an ingredient to craft different items. Can be eaten for a small increase in health and nutrition.","Образец установки SPIPEA используется в качестве ингредиента для создания различных предметов. Можно съесть для небольшого увеличения здоровья и питания.";
"Organic Sludge","Органический ил";
"A thick sludge that appears to have high concentrations of graphene strands suspended in solution.","Толстый ил, который, по-видимому, имеет высокие концентрации цепей графена, подвешенных в растворе.";
"Heat Sink Unit","Блок тепловой раковины";
"Broken Wire","Сломанный провод";
"Short segments of wire. With more pieces, could be combined into a usable segment of wire.","Короткие сегменты провода. С более частями можно комбинировать в удобный сегмент провода.";
"Machete","Мачете";
"A sharp weapon that is essentially a steel blade with a nice handle.","Осткое оружие, по сути, это стальное лезвие с хорошей ручкой.";
"Copper Ingot","Медный слиток";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1085 °C
","Слитки являются кирпичами очищенных строительных материалов. Вы будете использовать их, чтобы построить много разных вещей.

- точка плавления: 1085 ° C
";
"Alien Insect Parts","Части насекомых инопланетян";
"Squished parts of an indigenous alien insect.","Высекающие части коренного иностранца насекомого.";
"Crab Screwdriver","Краб отвертка";
"A makeshift multi-tool fashioned from tough pieces of chitinous antenna to allow for repairing, salvaging, and precise tinkering.","Taxthift Multi-Tool, выпущенный из жестких кусочков хитиновой антенны, чтобы обеспечить ремонт, спасение и точную точку.";
"Military Medkit","Военный медиит";
"Rubber","Резинка";
"Computer Screen","Экран компьютера";
"A computer screen with an internal processor.","Экран компьютера с внутренним процессором.";
"Fungtiple Bulb","Fungtiple Bulb";
"A Bulb off a Fungtiple plant.","Луковица с завода Fungtiple.";
"Glass Container","Стеклянный контейнер";
"Stores liquid so that it can be drank or used to craft more useful items.","Хранит жидкость, чтобы ее можно было выпивать или использовать для создания более полезных предметов.";
"Heavy Assault Magazine","Тяжелый штурм журнала";
"Ammo magazine for the Heavy Assault Rifle. It is automatically used when reloading, if stored in backpack.","Magazine Ammo для тяжелой штурмовой винтовки. Он автоматически используется при перезагрузке, если сохраняется в рюкзаке.";
"Scrap Solar Panel","Слома солнечная панель";
"Scraps of solar panel parts that have been left over.","Отходы частей солнечных панелей, которые были оставлены.";
"Ammo charges for the Pistol. It is automatically used when reloading, if stored in your backpack.","Аммоссы за пистолет. Он автоматически используется при перезагрузке, если сохраняется в вашем рюкзаке.";
"Mercury","Меркурий";
"A heavy metal often used in its liquid form for scientific instruments such as thermometers.","Тяжелый металл, часто используемый в его жидкой форме для научных инструментов, таких как термометры.";
"Tumbo Egg","Tumbo яйцо";
"Egg taken from the body of a Tumbo. Cook to avoid food poisoning.","Яйцо взяты из тела тумбо. Повар, чтобы избежать пищевого отравления.";
"Mercury Ingot","Mercury Ingot.";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: -38.83 °C
","Слитки являются кирпичами очищенных строительных материалов. Вы будете использовать их, чтобы построить много разных вещей.

- точка плавления: -38,83 ° C
";
"Crab Talon","Краб Талон";
"Talon taken from a crab monsters leg.","Талон взял из краба монстров ноги.";
"Shears","Ножницы";
"A precise surgical tool used for carefully gathering organic matter.","Точный хирургический инструмент, используемый для тщательно сбора органических веществ.";
"Path Light Kit","Путь света набор";
"Solar light used for path marking","Солнечный свет, используемый для маркировки пути";
"Barrel","Бочонок";
"Stores gas so that it can be used to craft more useful items.","Магазины газа, так что его можно использовать для создания более полезных предметов.";
"Storage Unit Mk. III","Хранение Блок МК. III.";
"Arachnoid Hide","Арахноид Скрыть";
"Hide taken from an Arachnoid, used for crafting purposes.","Спрячьтесь из арахноида, используются для целей производства.";
"Arachnoid Tail","Арахноидный хвост";
"Tail taken from a Arachnoid to be used for crafting purposes.","Хвост, взятый из арахноида, который будет использоваться для целей производства.";
"Skeliopod Meat","Скелиопод Мясо";
"Meat ripped right off the body of a Skeliopod. Cook to avoid food poisoning.","Мясо разорвало прямо с тела скелиопода. Повар, чтобы избежать пищевого отравления.";
"Data Disk SN:349.01","Data Disk SN: 349.01";
"Mission Cryptex","Миссия Cryptex.";
"Recovery Unit Mk. I","Установка восстановления МК. я";
"Hydrogen Canister","Водородная канистра";
"1% critical hit","1% критический удар";
"Container holding a pressurized hydrogen mixture. Made in either a printer or a fabricator. Used as a fuel source for the hydrogen torch.","Контейнер, удерживающий водородную смесь под давлением. Сделано в принтере или изготовителе. Используется в качестве источника топлива для водородного горелки.";
"Darts","Дартс";
"Projectiles used by Dart Gun.","Снаряды, используемые дротиками.";
"Hover Recharger","Надумчивый резатель";
"Cobalt Ingot","Кобальт слиток";
"Gnat Tongue","Язык Gnat";
"Tongue ripped right from the mouth of a Gnat. Cook to avoid food poisoning.","Язык разорвал прямо из устья гната. Повар, чтобы избежать пищевого отравления.";
"Gold Cover","Золотая крышка";
"Nitro","Нитро.";
"Advanced compound created to give you more speed and stamina.","Усовершенствованное соединение, созданное, чтобы дать вам больше скорости и выносливости.";
"Chlorine","Хлор";
"A pale green gas, important for water purification.","Бледно-зеленый газ, важен для очистки воды.";
"Adhesive","Клей";
"Adhesive is used in the fabrication of Patch Tape.","Клей используется при изготовлении патч-ленты.";
"English","английский";
"Avatar Inventory","Аватар инвентарь";
"Back","Назад";
"Avatars","Аватары";
"Create New Avatar","Создать новый аватар";
"Universe:","Вселенная:";
"Single Player","Один игрок";
"Owner:","Владелец:";
"Current Base","Текущая база";
"Planet:","Планета:";
"Launch","Запуск";
"Loading Avatar","Загрузка аватара";
"Loading Persistent Nature","Загрузка постоянного характера";
"EARLY ACCESS","РАННИЙ ДОСТУП";
"HINT: Unequip gun to run faster","Подсказка: UneQuip Gun, чтобы запустить быстрее";
"Depository","Депозитар";
"Habitat","Среда обитания";
"A Habitat is a multi-purpose room that can house many interior items.","Хабитат - многоцелевой комната, которая может размещать много внутренних предметов.";
"Add to Backpack","Добавить в рюкзак";
"Equip","Указывать";
"Store in Inventory","Хранить в инвентаре";
"Drink","Напиток";
"Empty out","Опустошить";
"Drop","Уронить";
"New Ability","Новая способность";
"Status","Статус";
"This new ability unlocks your wildest dreams!","Эта новая способность открывает ваши самые смелые мечты!";
"Customize Colors","Настроить цвета";
"Primary
","Начальный
";
"Secondary","Вторичный";
"Detail","Деталь";
"Glow","Светиться";
"Hazy","Смягчаться";
"Missions","Миссии";
"CRITICAL BREACH","Критическое нарушение";
"Oxygen Low","Низкий кислород";
"Local Time","Местное время";
"You Are Dehydrated
You are Starving","Вы обезвожены
Вы голодаете";
"Suit Pressue Low","Костюм прессования низкого";
"You Are FREEZING","Вы замораживаете";
"Agility","Ловкость";
"4m 5s","4 м 5с.";
"Fortitude","Стойкость";
"Strength","Сила";
"Stamina","Выносливость";
"HOV","Холдинга";
"-62°","-62 ° С";
"HYD
---","Гид
----";
"

NTR","

NTR.";
"HLTH","HLth";
"Restoring Oxygen in 10s","Восстановление кислорода в 10 с";
"0.99","99%";
"Atmos o2: 1.29%","ATMOS O2: 1,29%";
"Weight:","Масса:";
"Patch Tape","Патч лента";
"Medical Bandage","Медицинская повязка";
"Scrap Metal","Металлолом";
"Fern Tree Berry","Ферри Ферри";
"Alien Fiber","Инопланетное волокно";
"Rock","рок";
"Shard Blade","Ощупь лезвие";
"Alien Hide","Чужой Скрыть";
"Makeshift Chisel","Долобие";
"Barrel","Бочонок";
"Now that I've gotten a foothold on this planet, I should explore and see if I can regroup with the Phoenix Team. ([F3] will open up the GPS, your suit has a radar installed that will allow for Basic Scanning. [NUM +] and [NUM -] to change the zoom of the map.)","Теперь, когда я закрепился на этой планете, я должен исследовать и посмотреть, смогу ли я перегруппироваться с командой Феникса. ([F3] откроет GPS, ваш костюм имеет установленный радаром, который позволит базовое сканирование. [NUM +] и [NUM -], чтобы изменить зум карты.)";
"Slope: 35.6°","Склон: 35,6 °";
"Laboratory","Лаборатория";
"New1","New1.";
"Level 08 - SCIENTIST","Уровень 08 - ученый";
"Sol 01","Соль 01.";
"13 hrs to next sol","13 часов к следующему золю";
"Level 01","Уровень 01.";
"XP: 25/100","XP: 25/100";
"Physical Stats","Физическая статистика";
"Speed","Скорость";
"Health","Здоровье";
"Stat Points:","Очки статусов:";
"Proficiencies","Специальность";
"Combat","Бой";
"Engineering","Инженер";
"Science","Наука";
"HLTH
---","HLth
----";
"Suit","Подходить";
"NTR","NTR.";
"Creation Center","Центр создания";
"Skeliopod Meat","Скелиопод Мясо";
"Steel","Стали";
"Rubber","Резинка";
"Grilled Alien Meat","Жареное инопланетное мясо";
"<color=silver>Class: </color><color=white>Consumable</color>
<color=silver>Amount: </color><color=white>1/50</color>
<color=silver>Weight: </color><color=white>0.50</color><color=lime> kgs</color>
<color=silver>Health Bonus: </color><color=white>10</color>
<color=silver>Nutrition Bonus: </color><color=white>50</color>

<color=white>Meat ripped right off the body of an indigenous alien creature. Has been cooked and is safe to eat.</color>","<color = silver> класс: </ color> <color = белый> расходные </ color>
<color = silver> сумма: </ color> <color = white> 1/50 </ color>
<color = silver> Вес: </ color> <color = белый> 0,50 </ color> <color = lime> kgs </ color>
<color = silver> бонус здоровья: </ color> <color = белый> 10 </ color>
<color = silver> бонус питания: </ color> <color = белый> 50 </ color>

<color = white> мясо разорвало прямо с тела коренного чужеродного существа. Был приготовлен и безопасен есть. </ Color>";
"Backpack","Рюкзак";
"Default","По умолчанию";
"Alphabetical","Алфавитный";
"43.61 / 80.00 kgs
54.5% Weight Capacity","43,61 / 80,00 кг
54,5% емкость";
"Inventory
","Инвентарь
";
"[A] Skills","[А] навыки";
"Crafting [D]","Ремесло [D]";
"Urchin Shell","Urchin shell.";
"Duralumin","Дураль";
"Titanium","Титан";
"Brass","Латунь";
"Tungsten","Вольфрам";
"Bronze","Бронза";
"Wire","Проволока";
"Circuit Board","Печатная плата";
"Power Cell","Силовая клетка";
"Diamond Chisel","Алмазное долоту";
"Magnalium","Магмалий";
"Gunmetal","Огурцовый";
"Lead","Вести";
"Battery","Батареи";
"Assault Rifle","Штурмовая винтовка";
"Talonite","Наполз";
"Mechanized Spanner","Механизированный гаечный ключ";
"Crab Antenna","Краб антенны";
"Crab Shell","Crab Shell.";
"Crab Meat","Крабовое мясо";
"Crab Talon","Краб Талон";
"Crab Leg Meat","Краб нож мясо";
"Fuel Cell","Топливная ячейка";
"Cast Iron","Чугун";
"Ferrochrome","Феррохром";
"6al-4v","6al-4v.";
"Nichrome","Ничром";
"Azurnium","Азурный";
"Glass","Стекло";
"Cobalt","Кобальт";
"Inventory","Инвентарь";
"Field Guide","Полевое руководство";
"Skills","Навыки и умения";
"Options","Параметры";
"Build / Craft [F3]","Построить / ремесло [F3]";
"Data Selection
Matrix","Выбор данных
Матрица";
"Aziel","Азель";
"Env Pressure:","Давление env:";
"Env Temp:","Env temp:";
"Personal Data Unit","Единица персональных данных";
"Osiris Mission Team","Команда Миссии Осириса";
"Systems Data Selection","Выбор данных систем";
"Build 248.517.68200","Build 248.517.68200.";
"Exit Data Matrix [Tab]","Выходная матрица данных [Tab]";
"Log","Бревно";
"Lorem ipsum dolor sit amet, sed ea offendit aliquando mediocritatem. Cum ad quis malorum recusabo, nam ea audiam fuisset incorrupte, et eirmod aperiam pro. Quod detracto eloquentiam an vel, cum mutat argumentum ex. Ex eam partem dolores pertinacia, et alterum maiorum praesent his. Copiosae laboramus assentior te per, te eam feugiat elaboraret. Ut cum quas minim, has quot prodesset assueverit ei, an his utamur tibique.","Лорем Ipsum Долор сидит Аметь, Sed Ea Offendit Aliqhando MediocritateM. Сперма AD Quis Malorum RecuSabo, Nam EA Adudiam Fuisset english et eirmod Aperiam Pro. Куд Детракте Элокентим А. Л. Вел, сперма Мутат Аргумент Ex. Ex Eam Partem Dolores Pertinacia, Et Alterum Maiorum презентает его. Copiosae Laboramus Assentior TE PER, TE EAM AEGIAT ELABORARARET. UT COM-QUAS MINIM, quot prodesset assueverit ei, его utamur tibique.";
"Craft","Ремесло";
"Utilities","Утилиты";
"Defenses","Защита";
"Structures","Структуры";
"Appliances","бытовая техника";
"Custom","Обычай";
"Crafting","Оседание";
"[A] Inventory","[А] инвентарь";
"GPS [D]","GPS [D]";
"Makeshift Patch Tape","Takefift Patch лента";
"Class: ","Класс:";
"Amount: ","Количество:";
"Weight: ","Масса:";
" kgs"," кгс.";
"Suit Integrity Bonus: ","Костюм целостности бонус:";
"IMPORTANT! Use masking tape to repair suit punctures. Can be used while equipped or straight from inventory.","ВАЖНЫЙ! Используйте маскирующие ленту для ремонта проколов. Может использоваться при оборудовании или прямо из инвентаря.";
"Makeshift Bandage","Мергота повязки";
"Health Bonus: ","Бонус здоровья:";
"Heals hitpoints. Can be used while equipped or straight from inventory.","Лечит хит точки. Может использоваться при оборудовании или прямо из инвентаря.";
"Makeshift Cloth Bundle","Требушка ткани";
"A makeshift bundle of loosely woven fibers.","Трейс-пакет свободных тканых волокон.";
"Bashing Rock","Bashing Rock";
"Durability: ","Долговечность:";
"%","%";
"Hardness: ","Твердость:";
"Damage: ","Повреждать:";
"0% critical hit","0% критический удар";
"Useful when you have no other tools.","Полезно, когда у вас нет других инструментов.";
"Stone Blade","Каменное лезвие";
"A sharpened rock that can be used to make a blade.","Заостренный утес, который можно использовать, чтобы сделать лезвие.";
"Stone Axe Head","Каменная точка голова";
"A sharpened rock that can be used to make an axe","Заостренный утес, который можно использовать, чтобы сделать топор";
"Stone Shovel Head","Каменная лопата головы";
"A shaped rock that can be used to make a shovel.","Формонная камень, которую можно использовать, чтобы сделать лопату.";
"Shaped Crab Antenna","Формонная краб антенна";
"A shaped fragment of a Crab Antenna, could be fashioned into a crude precision tool.","Фрагмент фрагмента краба антенна может быть выпущен в неочищенный инструмент.";
"Crab Screwdriver","Краб отвертка";
"A makeshift multi-tool fashioned from tough pieces of chitinous antenna to allow for repairing, salvaging, and precise tinkering.","Taxthift Multi-Tool, выпущенный из жестких кусочков хитиновой антенны, чтобы обеспечить ремонт, спасение и точную точку.";
"20% critical hit","20% критический удар";
"A small sharp weapon made from a rock shard.","Небольшое резкое оружие сделано из капюшона.";
"Stone Axe","Каменная точка";
"A slashing tool that is essentially a rock on a stick with a nice handle.","Tracking Tool, по сути, потрясающе на палочке с хорошей ручкой.";
"Crab Scythe","Краб коса";
